"Device: USB-2408-2AO"
"Serial Number: 22C3E45"
"Channel Count: 5"
"Sample Count: 191"
"Start Time: 20/11/2025 18:02:33.0"
"Scan Rate: 1.4190000295639"
"Sample","Time (s)","Stator Body (°C)","Winding2 (°C)","Ambient (°C)","Stator Inner (°C)","Winding Temp (°C)"
"0","0:00.0","22.165","22.238","21.049","22.081","22.124"
"1","0:00.7","22.167","22.255","21.057","22.088","22.129"
"2","0:01.4","22.172","22.260","21.056","22.083","22.129"
"3","0:02.1","22.172","22.273","21.057","22.089","22.131"
"4","0:02.8","22.168","22.246","21.064","22.076","22.130"
"5","0:03.5","22.171","22.254","21.066","22.085","22.205"
"6","0:04.2","22.177","22.279","21.072","22.094","22.046"
"7","0:04.9","22.186","22.307","21.075","22.104","21.965"
"8","0:05.6","22.186","22.323","21.078","22.110","22.008"
"9","0:06.3","22.189","22.349","21.082","22.117","22.078"
"10","0:07.0","22.183","22.372","21.086","22.124","22.139"
"11","0:07.8","22.186","22.381","21.095","22.122","22.148"
"12","0:08.5","22.182","22.382","21.096","22.124","22.158"
"13","0:09.2","22.182","22.381","21.097","22.120","22.161"
"14","0:09.9","22.184","22.376","21.033","22.061","22.102"
"15","0:10.6","22.183","22.376","21.037","22.060","22.109"
"16","0:11.3","22.183","22.375","21.041","22.062","22.112"
"17","0:12.0","22.186","22.374","21.046","22.069","22.110"
"18","0:12.7","22.184","22.372","21.042","22.064","22.111"
"19","0:13.4","22.177","22.366","21.039","22.066","22.109"
"20","0:14.1","22.179","22.367","21.044","22.073","22.111"
"21","0:14.8","22.171","22.367","21.043","22.067","22.111"
"22","0:15.5","22.158","22.372","21.039","22.070","22.112"
"23","0:16.2","22.149","22.370","21.028","22.068","22.285"
"24","0:16.9","22.146","22.406","21.039","22.091","22.635"
"25","0:17.6","22.146","22.474","21.032","22.123","23.101"
"26","0:18.3","22.156","22.583","21.033","22.168","23.678"
"27","0:19.0","22.155","22.723","21.024","22.240","24.268"
"28","0:19.7","22.164","22.892","21.029","22.323","24.903"
"29","0:20.4","22.176","23.077","21.038","22.440","25.472"
"30","0:21.1","22.188","23.285","21.045","22.565","26.641"
"31","0:21.8","22.208","23.630","21.042","22.687","28.412"
"32","0:22.6","22.217","24.101","21.047","22.921","30.266"
"33","0:23.3","22.248","24.688","21.051","23.182","32.349"
"34","0:24.0","22.270","25.327","21.056","23.531","34.477"
"35","0:24.7","22.307","26.081","21.057","23.932","36.788"
"36","0:25.4","22.344","26.959","21.060","24.387","39.316"
"37","0:26.1","22.402","27.907","21.063","24.898","41.899"
"38","0:26.8","22.458","28.863","21.070","25.440","44.463"
"39","0:27.5","22.517","29.850","21.064","25.992","46.971"
"40","0:28.2","22.584","30.849","21.064","26.604","49.433"
"41","0:28.9","22.662","31.757","21.070","27.256","51.783"
"42","0:29.6","22.757","32.681","21.069","27.938","54.045"
"43","0:30.3","22.858","33.673","21.067","28.680","56.095"
"44","0:31.0","22.892","34.579","21.073","29.443","58.184"
"45","0:31.7","23.005","35.672","21.077","30.172","60.208"
"46","0:32.4","23.120","36.631","21.075","30.890","62.208"
"47","0:33.1","23.262","37.603","21.076","31.678","63.945"
"48","0:33.8","23.405","38.501","21.082","32.495","65.698"
"49","0:34.5","23.550","39.291","21.088","33.274","67.466"
"50","0:35.2","23.701","40.236","21.082","34.015","69.109"
"51","0:35.9","23.875","41.308","21.086","34.845","70.610"
"52","0:36.6","24.044","42.124","21.087","35.654","72.099"
"53","0:37.4","24.216","42.825","21.075","36.390","73.549"
"54","0:38.1","24.408","43.665","21.080","37.099","74.833"
"55","0:38.8","24.607","44.462","21.086","37.871","76.219"
"56","0:39.5","24.810","45.543","21.088","38.661","77.409"
"57","0:40.2","25.004","46.476","21.094","39.433","78.576"
"58","0:40.9","25.210","47.161","21.093","40.091","79.726"
"59","0:41.6","25.446","47.817","21.093","40.831","80.639"
"60","0:42.3","25.661","48.471","21.092","41.518","81.633"
"61","0:43.0","25.883","49.013","21.090","42.146","82.733"
"62","0:43.7","26.121","50.059","21.091","42.813","83.700"
"63","0:44.4","26.340","51.133","21.102","43.557","84.535"
"64","0:45.1","26.582","52.150","21.100","44.286","85.619"
"65","0:45.8","26.842","53.006","21.093","45.043","86.404"
"66","0:46.5","27.107","53.725","21.092","45.711","87.255"
