"Device: USB-2408-2AO"
"Serial Number: 22C3E45"
"Channel Count: 5"
"Sample Count: 191"
"Start Time: 20/11/2025 18:02:33.0"
"Scan Rate: 1.4190000295639"
"Sample","Time (s)","Stator Body (°C)","Winding2 (°C)","Ambient (°C)","Stator Inner (°C)","Winding Temp (°C)"
"67","0:47.2","27.378","54.351","21.093","46.330","88.021"
"68","0:47.9","27.658","54.544","21.092","47.025","88.725"
"69","0:48.6","27.946","54.614","21.097","47.661","89.343"
"70","0:49.3","28.217","54.533","21.106","48.233","89.934"
"71","0:50.0","28.505","55.022","21.111","48.701","90.386"
"72","0:50.7","28.779","55.163","21.111","49.301","90.836"
"73","0:51.4","29.023","55.518","21.108","49.765","91.309"
"74","0:52.1","29.310","56.006","21.113","50.244","91.729"
"75","0:52.9","29.604","56.628","21.118","50.791","92.041"
"76","0:53.6","29.920","57.111","21.117","51.243","92.590"
"77","0:54.3","30.232","57.733","21.121","51.866","93.029"
"78","0:55.0","30.555","58.486","21.124","52.524","93.525"
"79","0:55.7","30.868","59.198","21.129","53.098","94.054"
"80","0:56.4","31.166","59.722","21.135","53.579","94.490"
"81","0:57.1","31.462","60.240","21.133","54.065","94.928"
"82","0:57.8","31.761","60.686","21.141","54.542","95.333"
"83","0:58.5","32.042","61.042","21.140","55.025","95.696"
"84","0:59.2","32.356","61.325","21.139","55.455","96.139"
"85","0:59.9","32.677","61.611","21.135","55.927","96.503"
"86","1:00.6","33.008","61.927","21.135","56.437","96.980"
"87","1:01.3","33.305","62.340","21.135","57.003","97.419"
"88","1:02.0","33.621","62.448","21.137","57.544","97.905"
"89","1:02.7","33.922","62.688","21.201","58.089","98.462"
"90","1:03.4","34.224","63.045","21.206","58.618","98.921"
"91","1:04.1","34.529","63.123","21.201","59.150","99.463"
"92","1:04.8","34.857","63.008","21.202","59.661","99.903"
"93","1:05.5","35.207","63.073","21.200","60.120","100.345"
"94","1:06.2","35.572","63.104","21.207","60.635","100.698"
"95","1:06.9","35.933","63.136","21.198","61.009","101.105"
"96","1:07.7","36.293","63.181","21.203","61.379","101.458"
"97","1:08.4","36.603","63.261","21.210","61.799","101.778"
"98","1:09.1","36.984","63.936","21.196","62.195","102.137"
"99","1:09.8","37.280","64.352","21.201","62.595","102.417"
"100","1:10.5","37.628","64.457","21.196","62.961","102.768"
"101","1:11.2","37.986","64.373","21.210","63.335","103.195"
"102","1:11.9","38.317","64.125","21.207","63.636","103.542"
"103","1:12.6","38.658","63.930","21.210","63.931","103.712"
"104","1:13.3","38.891","64.099","21.208","64.399","103.961"
"105","1:14.0","39.063","64.705","21.207","64.948","104.143"
"106","1:14.7","39.267","65.294","21.214","65.335","104.390"
"107","1:15.4","39.531","66.154","21.216","65.671","104.683"
"108","1:16.1","39.854","67.186","21.220","66.147","105.004"
"109","1:16.8","40.196","68.164","21.222","66.618","105.461"
"110","1:17.5","40.450","69.019","21.228","67.037","105.918"
"111","1:18.2","40.801","69.838","21.232","67.514","106.339"
"112","1:18.9","41.188","70.524","21.232","68.065","106.714"
"113","1:19.6","41.565","71.177","21.231","68.486","107.131"
"114","1:20.3","41.931","71.760","21.238","68.853","107.470"
"115","1:21.0","42.291","72.276","21.240","69.218","107.769"
"116","1:21.7","42.667","72.647","21.238","69.594","107.954"
"117","1:22.5","43.018","72.870","21.236","69.981","108.427"
"118","1:23.2","43.380","73.043","21.237","70.330","108.782"
"119","1:23.9","43.742","73.187","21.243","70.703","109.025"
"120","1:24.6","44.097","73.373","21.244","71.208","109.371"
"121","1:25.3","44.406","73.017","21.244","71.738","109.726"
"122","1:26.0","44.644","72.704","21.243","72.181","110.188"
"123","1:26.7","44.975","72.539","21.244","72.448","110.458"
"124","1:27.4","45.383","72.703","21.244","72.629","110.714"
"125","1:28.1","45.822","72.739","21.248","72.864","110.718"
"126","1:28.8","46.210","72.852","21.252","73.056","110.499"
"127","1:29.5","46.557","73.439","21.252","73.593","110.306"
"128","1:30.2","46.872","73.742","21.256","73.905","110.176"
"129","1:30.9","47.192","74.184","21.257","74.253","110.080"
"130","1:31.6","47.531","74.717","21.255","74.652","110.004"
"131","1:32.3","47.835","75.114","21.261","75.069","109.951"
"132","1:33.0","48.124","75.141","21.256","75.624","109.992"
"133","1:33.7","48.458","75.433","21.260","76.071","110.022"
"134","1:34.4","48.831","75.711","21.258","76.449","110.160"
"135","1:35.1","49.125","75.781","21.254","77.033","110.319"
"136","1:35.8","49.459","75.907","21.256","77.442","110.529"
"137","1:36.5","49.801","76.212","21.253","77.603","110.802"
"138","1:37.3","50.095","76.689","21.257","78.076","111.027"
"139","1:38.0","50.427","77.165","21.257","78.427","111.201"
"140","1:38.7","50.763","77.545","21.253","78.771","111.413"
"141","1:39.4","51.093","77.704","21.260","79.231","111.513"
"142","1:40.1","51.387","77.697","21.256","79.654","111.842"
"143","1:40.8","51.699","77.661","21.261","80.133","112.101"
"144","1:41.5","52.048","77.832","21.255","80.561","112.532"
"145","1:42.2","52.356","77.812","21.257","80.961","112.795"
"146","1:42.9","52.710","77.877","21.253","81.238","113.133"
"147","1:43.6","53.132","78.016","21.250","81.480","113.438"
"148","1:44.3","53.541","78.139","21.257","81.738","113.586"
"149","1:45.0","53.952","78.422","21.321","82.048","113.905"
"150","1:45.7","54.289","78.691","21.322","82.296","114.218"
"151","1:46.4","54.617","78.805","21.327","82.503","114.440"
"152","1:47.1","54.976","78.865","21.327","82.744","114.808"
"153","1:47.8","55.348","78.942","21.323","82.994","115.144"
"154","1:48.5","55.686","79.111","21.317","83.296","115.498"
"155","1:49.2","56.026","79.310","21.324","83.615","115.691"
"156","1:49.9","56.381","79.425","21.321","83.902","116.001"
"157","1:50.6","56.729","79.658","21.317","84.163","116.480"
"158","1:51.3","57.087","79.863","21.313","84.451","117.758"
"159","1:52.1","57.392","80.015","21.320","84.771","118.678"
"160","1:52.8","57.683","80.198","21.325","85.101","119.192"
"161","1:53.5","57.954","80.374","21.329","85.358","119.649"
"162","1:54.2","58.259","80.254","21.324","85.674","120.051"
"163","1:54.9","58.589","80.444","21.330","85.962","120.366"
"164","1:55.6","58.876","81.007","21.328","86.188","120.549"
"165","1:56.3","59.153","81.392","21.337","86.229","120.769"
"166","1:57.0","59.439","81.297","21.329","86.484","121.100"
"167","1:57.7","59.787","81.844","21.321","86.679","121.443"
"168","1:58.4","59.801","82.366","21.319","86.825","121.712"
"169","1:59.1","59.939","82.219","21.324","87.061","122.047"
"170","1:59.8","59.898","82.762","21.324","87.767","122.591"
"171","2:00.5","60.117","83.687","21.321","88.508","123.201"
"172","2:01.2","60.614","84.190","21.326","88.935","123.841"
"173","2:01.9","60.996","84.448","21.331","89.201","124.285"
"174","2:02.6","61.363","84.901","21.338","89.616","124.698"
"175","2:03.3","61.850","84.853","21.334","89.988","125.127"
"176","2:04.0","62.324","84.634","21.335","90.462","125.624"
"177","2:04.7","62.769","84.422","21.340","91.028","126.233"
"178","2:05.4","63.163","84.193","21.338","91.632","126.824"
"179","2:06.1","63.477","83.823","21.404","92.215","127.471"
"180","2:06.8","63.772","83.176","21.401","92.361","128.017"
"181","2:07.6","64.066","82.947","21.403","92.305","128.515"
"182","2:08.3","64.421","82.858","21.403","92.586","128.868"
"183","2:09.0","64.857","83.331","21.405","93.068","129.121"
"184","2:09.7","65.252","83.317","21.404","93.467","129.408"
"185","2:10.4","65.654","83.329","21.401","93.812","129.720"
"186","2:11.1","66.100","83.518","21.405","93.992","130.022"
"187","2:11.8","66.472","83.980","21.406","94.208","130.259"
"188","2:12.5","66.777","84.245","21.413","94.845","130.399"
"189","2:13.2","67.052","84.923","21.409","95.301","130.740"
"190","2:13.9","67.270","85.615","21.426","95.737","130.495"
