Voltage (V),Current (A),Temperature (C),eRPM,Throttle Duty,Motor Duty,Phase Current (A),Power (W),Status 1,Status 2,Serial Number: 3620885024
61.171173,0.8,23.8,1988,3,2,0,48.94,1,0,
61.141144,1,23.8,1024,4,2,0,61.14,1,0,
61.141144,1.8,23.8,2012,4,3,0,110.05,1,0,
61.201202,1.2,23.8,2187,4,3,0,73.44,1,0,
61.081081,2.4,23.8,2127,4,4,0,146.59,1,0,
61.111111,2.4,23.8,2108,4,4,0,146.67,1,0,
61.141144,3.2,23.8,2128,4,4,0,195.65,1,0,
61.111111,3.2,23.8,955,4,4,0,195.56,1,0,
61.111111,3,23.8,720,4,4,0,183.33,1,0,
61.111111,3.8,23.8,680,4,4,0,232.22,1,0,
61.141144,2.4,23.8,764,4,4,0,146.74,1,0,
61.201202,4.2,23.8,1925,4,4,0,257.05,1,0,
61.141144,2,23.8,1988,4,4,0,122.28,1,0,
61.141144,3,23.8,1986,4,4,0,183.42,1,0,
61.141144,2,23.8,1989,4,4,0,122.28,1,0,
61.111111,2.8,23.8,1046,4,4,0,171.11,1,0,
61.141144,2.4,23.8,692,4,4,0,146.74,1,0,
61.201202,2.4,23.8,628,4,4,0,146.88,1,0,
61.111111,2.8,23.8,1134,4,4,0,171.11,1,0,
61.141144,2.6,23.8,1786,4,4,0,158.97,1,0,
61.111111,3,23.82,1776,4,4,0,183.33,1,0,
61.141144,2,23.82,2058,4,4,0,122.28,1,0,
61.141144,3,23.85,2065,5,4,0,183.42,1,0,
61.111111,1.8,23.87,2223,4,4,0,110,1,0,
61.111111,3.2,23.9,2175,5,4,0,195.56,1,0,
61.081081,2.4,23.92,2205,4,4,0,146.59,1,0,
61.141144,3.4,23.97,2196,5,4,0,207.88,1,0,
61.111111,3,23.97,809,4,4,0,183.33,1,0,
61.141144,2.6,24,687,5,4,0,158.97,1,0,
61.141144,3.4,24.02,729,4,4,0,207.88,1,0,
61.111111,2.6,24.07,707,5,4,0,158.89,1,0,
61.141144,3.4,24.1,856,4,4,0,207.88,1,0,
61.081081,2.6,24.12,1965,5,5,0,158.81,1,0,
61.141144,2.8,24.17,1986,4,4,0,171.2,1,0,
61.111111,2.6,24.17,1986,4,4,0,158.89,1,0,
61.141144,3,24.2,883,4,4,0,183.42,1,0,
61.171173,2.2,24.25,679,4,4,0,134.58,1,0,
61.141144,2.6,24.27,627,4,4,0,158.97,1,0,
61.111111,3,24.27,1666,4,4,0,183.33,1,0,
61.171173,2.2,24.3,2048,4,4,0,134.58,1,0,
61.141144,3,24.32,2234,4,4,0,183.42,1,0,
61.141144,2.2,24.35,2199,4,4,0,134.51,1,0,
61.051052,4.6,24.4,2000,4,5,0,280.83,1,0,
61.081081,2.4,24.4,2221,4,4,0,146.59,1,0,
61.081081,5,24.42,1986,4,5,0,305.41,1,0,
61.171173,2.6,24.45,765,4,4,0,159.05,1,0,
61.141144,3.8,24.45,773,4,4,0,232.34,1,0,
61.111111,2.6,24.5,1971,4,4,0,158.89,1,0,
61.141144,2.6,24.52,1983,4,4,0,158.97,1,0,
61.141144,2.6,24.55,1986,4,4,0,158.97,1,0,
61.141144,2.4,24.6,1983,4,4,0,146.74,1,0,
61.111111,4.4,24.6,1692,5,5,0,268.89,1,0,
61.051052,6.4,24.62,803,6,6,0,390.73,1,0,
60.990993,11.8,24.65,1924,8,8,0,719.69,1,0,
60.930931,11.8,24.67,1983,8,8,0,718.98,1,0,
60.990993,11.6,24.7,1982,8,7,0,707.5,1,0,
60.960964,8.4,24.75,837,8,7,0,512.07,1,0,
60.900902,11.4,24.77,1947,8,8,0,694.27,1,0,
60.840843,13.4,24.82,935,8,8,0,815.27,1,0,
60.960964,10.8,24.87,1984,8,8,0,658.38,1,0,
60.960964,9.8,24.9,1335,7,7,0,597.42,1,0,
60.990993,8,24.95,1947,7,7,0,487.93,1,0,
60.960964,10.2,25,1076,7,7,0,621.8,1,0,
61.201202,6.2,25.05,1882,6,6,0,379.45,1,0,
61.021023,8.4,25.1,1490,7,7,0,512.58,1,0,
