"Device: USB-2408-2AO"
"Serial Number: 22C3E45"
"Channel Count: 4"
"Sample Count: 413"
"Start Time: 20/11/2025 11:08:53.4"
"Scan Rate: 2.48399996757507"
"Sample","Time (s)","PH1 (°C)","PH3 (°C)","PH2 (°C)","Ambient (°C)"
"117","0:47.1","72.512","87.330","77.381","20.889"
"118","0:47.5","72.938","87.865","77.853","20.889"
"119","0:47.9","73.362","88.406","78.329","20.885"
"120","0:48.3","73.783","88.965","78.804","20.887"
"121","0:48.7","74.217","89.508","79.270","20.883"
"122","0:49.1","74.642","90.055","79.727","20.890"
"123","0:49.5","75.035","90.562","80.194","20.881"
"124","0:49.9","75.416","91.079","80.671","20.886"
"125","0:50.3","75.775","91.617","81.137","20.885"
"126","0:50.7","76.153","92.120","81.563","20.886"
"127","0:51.1","76.531","92.647","82.008","20.888"
"128","0:51.5","76.888","93.184","82.487","20.899"
"129","0:51.9","77.230","93.737","82.955","20.882"
"130","0:52.3","77.611","94.310","83.432","20.887"
"131","0:52.7","78.054","94.833","83.901","20.895"
"132","0:53.1","78.462","95.318","84.355","20.872"
"133","0:53.5","78.839","95.806","84.813","20.873"
"134","0:53.9","79.152","96.306","85.278","20.876"
"135","0:54.3","79.442","96.828","85.735","20.880"
"136","0:54.8","79.785","97.239","86.177","20.887"
"137","0:55.2","80.141","97.690","86.591","20.872"
"138","0:55.6","80.505","98.080","87.022","20.881"
"139","0:56.0","80.884","98.456","87.484","20.886"
"140","0:56.4","81.241","99.066","87.925","20.885"
"141","0:56.8","81.669","99.594","88.389","20.879"
"142","0:57.2","82.082","100.130","88.792","20.869"
"143","0:57.6","82.366","100.588","89.198","20.876"
"144","0:58.0","82.723","101.139","89.587","20.876"
"145","0:58.4","83.084","101.510","90.019","20.880"
"146","0:58.8","83.468","102.037","90.470","20.878"
"147","0:59.2","83.820","102.508","90.916","20.881"
"148","0:59.6","84.281","102.922","91.352","20.869"
"149","1:00.0","84.618","103.440","91.804","20.876"
"150","1:00.4","84.975","103.874","92.216","20.880"
"151","1:00.8","85.367","104.288","92.621","20.881"
"152","1:01.2","85.817","104.589","93.044","20.878"
"153","1:01.6","86.284","105.010","93.493","20.871"
"154","1:02.0","86.741","105.417","93.944","20.875"
"155","1:02.4","87.103","105.788","94.369","20.879"
"156","1:02.8","87.477","106.189","94.782","20.875"
"157","1:03.2","87.796","106.626","95.217","20.876"
"158","1:03.6","88.191","107.120","95.665","20.866"
"159","1:04.0","88.586","107.689","96.094","20.862"
"160","1:04.4","88.887","108.075","96.519","20.870"
"161","1:04.8","89.236","108.421","96.909","20.864"
"162","1:05.2","89.500","108.748","97.335","20.868"
"163","1:05.6","89.746","109.121","97.749","20.862"
"164","1:06.0","90.060","109.519","98.171","20.861"
"165","1:06.4","90.304","110.000","98.558","20.861"
"166","1:06.8","90.603","110.474","98.953","20.868"
"167","1:07.2","90.916","110.891","99.350","20.865"
"168","1:07.6","91.243","111.286","99.751","20.862"
"169","1:08.0","91.585","111.653","100.157","20.860"
"170","1:08.4","91.884","111.967","100.525","20.860"
"171","1:08.8","92.183","112.331","100.895","20.860"
"172","1:09.2","92.458","112.790","101.300","20.863"
"173","1:09.6","92.781","113.392","101.679","20.863"
"174","1:10.0","93.221","113.777","102.118","20.916"
"175","1:10.5","93.533","114.312","102.516","20.921"
