"Device: USB-2408-2AO"
"Serial Number: 22C3E45"
"Channel Count: 5"
"Sample Count: 185"
"Start Time: 20/11/2025 18:21:10.8"
"Scan Rate: 1.4190000295639"
"Sample","Time (s)","Stator Body (°C)","Winding2 (°C)","Ambient (°C)","Stator Inner (°C)","Winding Temp (°C)"
"101","1:11.2","50.453","100.030","21.933","78.778","127.255"
"102","1:11.9","50.807","100.263","21.928","79.082","127.476"
"103","1:12.6","51.148","100.582","21.927","79.347","127.770"
"104","1:13.3","51.633","100.923","21.990","79.652","128.179"
"105","1:14.0","52.054","101.200","21.989","80.038","128.384"
"106","1:14.7","52.448","101.517","21.992","80.324","128.674"
"107","1:15.4","52.815","101.774","21.986","80.649","128.948"
"108","1:16.1","53.092","102.106","21.990","81.170","129.141"
"109","1:16.8","53.318","102.431","21.994","81.467","129.415"
"110","1:17.5","53.567","102.745","21.990","81.830","129.788"
"111","1:18.2","53.903","103.044","21.992","82.272","130.011"
"112","1:18.9","54.260","103.419","21.992","82.799","130.248"
"113","1:19.6","54.634","103.734","21.992","83.254","130.446"
"114","1:20.3","54.988","104.058","21.989","83.936","130.609"
"115","1:21.0","55.326","104.377","21.984","84.459","130.863"
"116","1:21.7","55.668","104.670","21.985","84.735","131.057"
"117","1:22.5","56.039","104.996","21.987","84.910","131.304"
"118","1:23.2","56.416","105.257","21.988","85.132","131.462"
"119","1:23.9","56.771","105.509","21.981","85.496","131.763"
"120","1:24.6","57.118","105.851","21.976","85.752","131.991"
"121","1:25.3","57.495","106.120","21.981","86.186","132.240"
"122","1:26.0","57.851","106.495","21.979","86.598","132.633"
"123","1:26.7","58.190","106.801","21.978","87.137","132.959"
"124","1:27.4","58.539","107.186","21.988","87.575","133.135"
"125","1:28.1","58.862","107.373","21.997","88.187","132.271"
"126","1:28.8","59.121","107.183","22.000","88.559","130.819"
"127","1:29.5","59.442","106.749","21.997","88.975","128.949"
"128","1:30.2","59.771","106.144","21.995","89.050","126.951"
"129","1:30.9","60.129","105.389","21.996","88.931","124.922"
"130","1:31.6","60.482","104.515","21.991","88.734","122.804"
"131","1:32.3","60.806","103.526","21.985","88.567","120.753"
"132","1:33.0","61.152","102.535","21.983","88.358","118.727"
"133","1:33.7","61.498","101.524","21.984","88.141","116.740"
"134","1:34.4","61.871","100.573","22.047","87.852","114.905"
"135","1:35.1","62.181","99.568","22.043","87.501","113.095"
"136","1:35.8","62.460","98.581","22.050","87.257","111.375"
"137","1:36.5","62.668","97.604","22.043","86.780","109.766"
"138","1:37.3","62.899","96.646","22.046","86.553","108.232"
"139","1:38.0","63.162","95.718","22.049","86.193","106.767"
"140","1:38.7","63.414","94.805","22.039","85.764","105.366"
"141","1:39.4","63.626","93.935","22.043","85.475","104.016"
"142","1:40.1","63.871","93.073","22.042","85.087","102.772"
"143","1:40.8","64.163","92.232","22.040","84.626","101.611"
"144","1:41.5","64.470","91.407","22.038","84.175","100.518"
"145","1:42.2","64.750","90.605","22.035","83.750","99.477"
"146","1:42.9","64.959","89.826","22.034","83.326","98.431"
"147","1:43.6","65.175","89.066","22.031","82.923","97.389"
"148","1:44.3","65.374","88.333","22.026","82.456","96.446"
"149","1:45.0","65.571","87.617","22.029","81.953","95.517"
"150","1:45.7","65.763","86.917","22.025","81.569","94.633"
"151","1:46.4","65.923","86.250","22.020","81.336","93.766"
"152","1:47.1","66.075","85.614","22.023","81.003","92.851"
"153","1:47.8","66.216","84.991","22.022","80.609","91.962"
"154","1:48.5","66.323","84.403","22.023","80.307","91.107"
"155","1:49.2","66.461","83.836","22.020","80.059","90.291"
"156","1:49.9","66.594","83.313","22.019","79.765","89.593"
"157","1:50.6","66.650","82.820","22.018","79.618","88.967"
"158","1:51.3","66.644","82.358","22.014","79.448","88.382"
"159","1:52.1","66.679","81.917","22.019","79.158","87.767"
"160","1:52.8","66.741","81.482","22.015","78.785","87.174"
"161","1:53.5","66.777","81.077","22.008","78.443","86.600"
"162","1:54.2","66.839","80.685","22.004","78.463","85.886"
"163","1:54.9","66.876","80.326","22.001","78.362","85.250"
"164","1:55.6","66.895","79.985","22.063","78.460","84.739"
"165","1:56.3","66.947","79.667","22.055","78.427","84.107"
"166","1:57.0","66.997","79.371","22.061","78.375","83.477"
"167","1:57.7","67.112","79.095","22.061","78.106","83.059"
"168","1:58.4","67.223","78.822","22.057","77.886","82.713"
"169","1:59.1","67.315","78.543","22.054","77.543","82.430"
"170","1:59.8","67.377","78.277","22.055","77.265","82.144"
"171","2:00.5","67.470","78.008","22.047","76.937","81.810"
"172","2:01.2","67.540","77.734","22.054","76.489","81.461"
"173","2:01.9","67.568","77.468","22.055","76.315","81.173"
"174","2:02.6","67.556","77.212","22.062","76.094","80.922"
"175","2:03.3","67.567","76.938","22.060","75.930","80.656"
"176","2:04.0","67.742","76.661","22.066","75.573","80.342"
"177","2:04.7","67.894","76.368","22.062","75.121","80.037"
"178","2:05.4","68.053","76.068","22.063","74.644","79.724"
"179","2:06.1","68.211","75.832","22.064","74.300","79.356"
"180","2:06.8","68.257","75.537","22.068","74.098","78.987"
"181","2:07.6","68.291","75.268","22.063","74.010","78.620"
"182","2:08.3","68.278","75.021","22.069","73.890","78.269"
"183","2:09.0","68.264","74.795","22.063","73.710","77.977"
"184","2:09.7","68.308","74.577","22.059","73.470","77.677"
