Time (s),Power (W),Stator Body (°C)
0.0,663.6980000000001,28.073
0.1,663.6980000000001,28.077285714285715
0.20000000000000004,663.6980000000001,28.08157142857143
0.30000000000000004,663.6980000000001,28.085857142857144
0.4,663.6980000000001,28.090142857142858
0.5000000000000001,663.6980000000001,28.094428571428573
0.6000000000000001,663.6980000000001,28.098714285714287
0.7000000000000001,663.6980000000001,28.103
0.8,663.6980000000001,28.110285714285716
0.9,663.6980000000001,28.11757142857143
1.0,663.6980000000001,28.124857142857145
1.1,663.6980000000001,28.132142857142856
1.2,663.6980000000001,28.13942857142857
1.3,663.6980000000001,28.146714285714285
1.4,663.6980000000001,28.154
1.5,663.6980000000001,28.162857142857142
1.6,665.5331444444446,28.171714285714287
1.7,667.368288888889,28.18057142857143
1.8,669.2034333333335,28.18942857142857
1.9,671.0385777777778,28.198285714285714
2.0,672.8737222222223,28.20714285714286
2.1,674.7088666666667,28.216
2.2,676.5440111111112,28.225285714285715
2.3000000000000003,678.3791555555556,28.234571428571428
2.4,680.2143000000001,28.24385714285714
2.5,682.0494444444445,28.25314285714286
2.6,683.884588888889,28.262428571428572
2.7,685.7197333333334,28.271714285714285
2.8000000000000003,687.5548777777778,28.281
2.9,689.3900222222222,28.29242857142857
3.0,691.2251666666667,28.303857142857144
3.1,693.0603111111112,28.315285714285714
3.2,694.8954555555556,28.326714285714285
3.3000000000000003,696.7306000000001,28.338142857142856
3.4,698.5657444444445,28.34957142857143
3.5,700.400888888889,28.361
3.6,702.2360333333334,28.37057142857143
3.7,704.0711777777778,28.380142857142857
3.8000000000000003,705.9063222222222,28.389714285714287
3.9,707.7414666666667,28.399285714285714
4.000000000000001,709.5766111111111,28.408857142857144
4.1000000000000005,711.4117555555556,28.41842857142857
4.2,713.2469,28.428
4.300000000000001,715.0820444444445,28.440428571428573
4.4,716.917188888889,28.452857142857145
4.500000000000001,718.7523333333334,28.465285714285717
4.6000000000000005,716.365188888889,28.477714285714285
4.700000000000001,713.9780444444444,28.490142857142857
4.800000000000001,711.5909,28.50257142857143
4.9,709.2037555555555,28.515
5.000000000000001,706.8166111111111,28.528142857142857
