Time (s),Power (W),Winding Temp (°C)
0.0,114.74,20.992
0.1,114.69,21.014333333333333
0.2,301.19,21.03666666666667
0.30000000000000004,200.62,21.059
0.4,735.75,21.09166666666667
0.5,429.37,21.124333333333333
0.6000000000000001,672.4,21.157
0.7000000000000001,388.86,21.19
0.8,696.79,21.223
0.9,501.14,21.256
1.0,842.65,21.294
1.1,644.05,21.332
1.2000000000000002,586.56,21.37
1.3,787.84,21.420666666666666
1.4000000000000001,428.11,21.471333333333334
1.5,644.05,21.522
1.6,457.8,21.595333333333333
1.7000000000000002,658.92,21.668666666666667
1.8,472.5,21.742
1.9000000000000001,665.83,21.803333333333335
2.0,529.33,21.864666666666665
2.1,657.26,21.926
2.2,544.1,21.98633333333333
2.3000000000000003,529.11,22.046666666666667
2.4000000000000004,572.01,22.107
2.5,500.3,22.173
2.6,729.93,22.239
2.7,415.93,22.305
2.8000000000000003,801.83,22.373333333333335
2.9000000000000004,486.82,22.441666666666666
3.0,644.05,22.51
3.1,574.89,22.58366666666667
3.2,528.22,22.657333333333334
3.3000000000000003,715.62,22.731
3.4000000000000004,457.99,22.806333333333335
3.5,572.97,22.881666666666668
3.6,460.3,22.957
3.7,643.24,23.038
3.8000000000000003,472.5,23.119
3.9000000000000004,814.43,23.2
4.0,446.66,23.285666666666668
4.1000000000000005,726.56,23.371333333333332
4.2,587.05,23.457
4.3,586.07,23.546666666666667
4.4,672.96,23.636333333333333
4.5,500.72,23.726
4.6000000000000005,815.46,23.819666666666667
4.7,515.24,23.913333333333334
4.800000000000001,985.89,24.007
4.9,486.62,24.101666666666667
5.0,814.43,24.19633333333333
5.1000000000000005,529.78,24.291
5.2,606.67,24.384
5.300000000000001,485.39,24.477
5.4,530.22,24.57
5.5,558.65,24.673
5.6000000000000005,471.12,24.776
5.7,613.36,24.879
5.800000000000001,486.41,24.980666666666668
5.9,772.54,25.082333333333334
6.0,502.19,25.184
6.1000000000000005,700.71,25.281666666666666
6.2,586.8,25.379333333333335
6.300000000000001,600.61,25.477
6.4,773.19,25.582
6.5,433.51,25.687
6.6000000000000005,1100.2,25.792
6.7,415.06,25.884666666666668
6.800000000000001,985.89,25.977333333333334
6.9,472.31,26.07
7.0,814.77,26.166666666666668
7.1000000000000005,457.99,26.263333333333332
7.2,728.4,26.36
7.300000000000001,501.14,26.461666666666666
7.4,543.64,26.563333333333333
7.5,558.88,26.665
7.6000000000000005,418.02,26.761
7.7,544.32,26.857
7.800000000000001,415.58,26.953
7.9,557.95,27.057666666666666
8.0,445.17,27.162333333333333
8.1,601.37,27.266999999999996
8.200000000000001,559.12,27.374
8.3,671.83,27.480999999999998
8.4,558.41,27.587999999999997
8.5,457.99,27.68733333333333
8.6,558.65,27.786666666666665
8.700000000000001,457.8,27.886000000000003
8.8,571.77,27.995
8.9,443.87,28.104000000000003
9.0,815.46,28.213
9.1,428.65,28.314333333333334
9.200000000000001,771.57,28.415666666666667
9.3,572.73,28.517
9.4,545.01,28.624666666666666
9.5,816.14,28.732333333333333
9.600000000000001,457.61,28.84
9.700000000000001,643.78,28.955666666666666
9.8,457.8,29.07133333333333
9.9,664.44,29.186999999999998
10.0,458.57,29.304
10.100000000000001,615.69,29.421000000000003
10.200000000000001,558.18,29.538000000000004
10.3,714.71,29.64766666666667
10.4,515.03,29.757333333333335
10.5,514.81,29.867
10.600000000000001,932.25,29.996333333333336
10.700000000000001,529.33,30.125666666666667
10.8,600.11,30.255
10.9,385.62,30.37333333333333
11.0,715.02,30.491666666666664
11.100000000000001,501.56,30.61
11.200000000000001,533.33,30.723
11.3,528.22,30.836
11.4,515.46,30.948999999999998
11.5,430.63,31.071
11.600000000000001,659.75,31.193
11.700000000000001,486.41,31.315000000000005
11.8,786.85,31.44966666666667
11.9,416.45,31.584333333333337
12.0,771.89,31.719
12.100000000000001,529.78,31.83866666666667
12.200000000000001,676.07,31.958333333333336
12.3,601.37,32.078
12.4,616.46,32.20633333333333
12.5,544.55,32.334666666666664
12.600000000000001,529.11,32.463
12.700000000000001,672.96,32.58733333333333
12.8,558.18,32.711666666666666
12.9,458.38,32.836
13.0,644.05,32.958999999999996
13.100000000000001,501.35,33.082
