"Device: USB-2408-2AO"
"Serial Number: 22C3E45"
"Channel Count: 6"
"Sample Count: 320"
"Start Time: 20/11/2025 12:27:38.2"
"Scan Rate: 1.65600001811981"
"Sample","Time (s)","PHC-inner (°C)","PHA-inner (°C)","PHA-interface (°C)","Ext-above-PHA (°C)","Ambient (°C)","Ext-above-PHC (°C)"
"87","0:52.5","56.468","60.463","33.198","-35.225","21.131","31.862"
"88","0:53.1","56.979","61.111","33.391","-6.665","21.694","32.088"
"89","0:53.7","57.604","61.792","33.576","-35.065","21.096","32.381"
"90","0:54.3","58.266","62.605","33.684","-47.920","21.039","32.546"
"91","0:55.0","59.221","63.179","33.908","-14.063","20.994","32.734"
"92","0:55.6","59.612","63.823","34.084","-22.418","21.012","32.815"
"93","0:56.2","60.212","64.627","34.295","-45.742","20.168","33.040"
"94","0:56.8","61.177","65.298","34.484","-38.981","21.047","33.246"
"95","0:57.4","61.858","65.825","34.726","-11.222","21.099","33.451"
"96","0:58.0","62.116","66.546","34.922","-11.289","21.057","33.745"
"97","0:58.6","62.712","67.276","35.102","-32.892","21.032","33.931"
"98","0:59.2","63.800","67.792","35.324","-14.853","21.118","34.133"
"99","0:59.8","64.318","68.347","35.521","-8.851","21.017","34.250"
"100","1:00.4","64.778","69.125","35.760","-45.669","21.124","34.579"
"101","1:01.0","65.535","69.741","35.876","-46.008","21.121","34.803"
"102","1:01.6","66.376","70.360","36.143","-5.319","21.303","34.759"
"103","1:02.2","66.743","70.994","36.413","-24.030","21.940","35.147"
"104","1:02.8","67.309","71.598","36.626","-36.703","20.738","35.496"
"105","1:03.4","68.213","72.232","36.840","-29.330","21.084","35.635"
"106","1:04.0","68.739","72.669","37.065","-3.217","19.987","35.755"
"107","1:04.6","69.201","73.432","37.238","-33.868","21.228","35.906"
"108","1:05.2","69.794","74.061","37.424","-17.185","21.204","36.229"
"109","1:05.8","70.673","74.511","37.655","-12.729","21.280","36.177"
"110","1:06.4","71.169","75.013","37.979","-4.895","21.168","36.571"
"111","1:07.0","71.614","75.632","38.156","-53.756","21.061","36.815"
"112","1:07.6","72.516","76.177","38.432","-24.549","21.126","36.945"
"113","1:08.2","73.174","76.695","38.675","5.501","21.182","37.108"
"114","1:08.8","73.502","77.219","38.931","39.245","20.756","37.336"
"115","1:09.4","74.067","77.918","39.172","-25.102","21.099","37.614"
"116","1:10.0","74.913","78.436","39.391","-9.146","21.080","37.830"
"117","1:10.7","75.411","78.942","39.584","-4.182","21.141","37.946"
"118","1:11.3","75.942","79.638","39.848","1.656","20.807","38.211"
"119","1:11.9","76.644","80.268","40.054","10.863","21.612","38.220"
"120","1:12.5","77.239","80.733","40.288","9.189","21.210","38.745"
"121","1:13.1","77.760","81.300","40.552","9.326","21.598","39.042"
"122","1:13.7","78.421","82.013","40.749","-4.651","21.176","39.440"
"123","1:14.3","78.972","82.617","41.084","-12.090","21.836","39.698"
"124","1:14.9","79.516","83.181","41.327","-18.987","19.945","39.953"
"125","1:15.5","79.957","83.791","41.600","28.044","21.621","39.705"
"126","1:16.1","80.635","84.427","41.818","-10.189","19.894","40.369"
"127","1:16.7","81.462","84.981","42.084","10.753","21.207","40.717"
"128","1:17.3","81.845","85.435","42.355","22.732","21.083","40.944"
"129","1:17.9","82.301","86.141","42.572","-11.092","21.113","41.220"
"130","1:18.5","83.026","86.780","42.811","16.415","21.175","41.341"
"131","1:19.1","83.439","87.304","43.034","-1.153","21.240","41.634"
"132","1:19.7","84.111","87.752","43.365","24.354","21.025","41.987"
"133","1:20.3","84.493","88.469","43.642","-2.786","21.127","42.242"
"134","1:20.9","85.306","89.054","43.898","16.438","21.252","42.405"
"135","1:21.5","85.692","89.757","44.219","-2.059","21.151","42.886"
"136","1:22.1","86.366","90.196","44.506","41.098","20.993","43.083"
"137","1:22.7","86.911","90.818","44.767","15.787","21.828","43.416"
"138","1:23.3","87.313","91.450","44.992","11.673","21.154","43.668"
"139","1:23.9","87.927","92.051","45.277","37.666","21.151","43.951"
"140","1:24.5","88.448","92.575","45.593","7.893","21.150","44.249"
"141","1:25.1","88.900","93.245","45.818","17.369","20.165","44.276"
"142","1:25.7","89.617","93.741","46.201","34.156","21.053","44.703"
"143","1:26.4","89.857","94.274","46.438","25.774","21.213","44.797"
"144","1:27.0","90.345","94.851","46.736","40.008","21.018","45.177"
"145","1:27.6","91.108","95.393","47.031","24.341","21.032","45.554"
"146","1:28.2","91.476","95.904","47.260","-2.080","21.124","45.776"
"147","1:28.8","91.769","96.429","47.654","50.360","21.100","46.058"
"148","1:29.4","92.375","96.991","47.935","44.290","21.205","46.092"
"149","1:30.0","93.080","97.480","48.195","-13.410","21.094","46.512"
"150","1:30.6","93.403","97.966","48.552","-5.207","21.103","46.873"
"151","1:31.2","93.922","98.487","48.836","32.270","21.038","47.233"
"152","1:31.8","94.543","99.103","49.245","8.488","21.009","47.494"
"153","1:32.4","94.879","99.626","49.514","36.940","21.197","47.711"
"154","1:33.0","95.426","100.114","49.846","48.367","19.830","48.022"
