"Device: USB-2408-2AO"
"Serial Number: 22C3E45"
"Channel Count: 5"
"Sample Count: 88"
"Start Time: 20/11/2025 17:29:55.0"
"Scan Rate: 1.4190000295639"
"Sample","Time (s)","Housing (°C)","Winding2 (°C)","Ambient (°C)","Stator Inner (°C)","Winding Temp (°C)"
"0","0:00.0","21.333","21.239","21.136","21.208","21.324"
"1","0:00.7","21.312","21.249","21.133","21.215","21.327"
"2","0:01.4","21.306","21.253","21.132","21.210","21.326"
"3","0:02.1","21.305","21.259","21.129","21.214","21.328"
"4","0:02.8","21.301","21.266","21.128","21.214","21.325"
"5","0:03.5","21.305","21.266","21.132","21.205","21.324"
"6","0:04.2","21.289","21.244","21.133","21.194","21.310"
"7","0:04.9","21.289","21.439","21.129","21.207","21.340"
"8","0:05.6","21.292","23.278","21.132","21.231","21.375"
"9","0:06.3","21.296","23.127","21.124","21.250","21.374"
"10","0:07.0","21.290","22.923","21.124","21.258","21.368"
"11","0:07.8","21.294","22.733","21.115","21.263","21.356"
"12","0:08.5","21.293","22.546","21.110","21.260","21.348"
"13","0:09.2","21.297","22.378","21.095","21.257","21.344"
"14","0:09.9","21.342","22.354","21.074","21.260","22.099"
"15","0:10.6","21.343","22.491","21.076","21.308","23.935"
"16","0:11.3","21.349","22.893","21.081","21.463","26.437"
"17","0:12.0","21.348","23.530","21.082","21.591","29.340"
"18","0:12.7","21.353","24.345","21.085","21.960","32.233"
"19","0:13.4","21.372","25.327","21.081","22.246","35.264"
"20","0:14.1","21.393","26.429","21.087","22.705","38.265"
"21","0:14.8","21.415","27.624","21.086","23.281","41.193"
"22","0:15.5","21.459","28.904","21.084","23.827","44.120"
"23","0:16.2","21.505","30.244","21.080","24.418","46.928"
"24","0:16.9","21.553","31.620","21.083","25.216","49.790"
"25","0:17.6","21.620","33.093","21.088","25.993","52.664"
"26","0:18.3","21.693","34.534","21.084","26.677","55.214"
"27","0:19.0","21.778","36.019","21.090","27.582","57.820"
"28","0:19.7","21.873","37.532","21.086","28.518","60.321"
"29","0:20.4","21.985","38.994","21.149","29.488","62.909"
"30","0:21.1","22.106","40.482","21.146","30.370","65.331"
"31","0:21.8","22.242","41.957","21.142","31.368","67.675"
"32","0:22.6","22.379","43.375","21.142","32.347","69.971"
"33","0:23.3","22.540","44.817","21.157","33.343","72.225"
"34","0:24.0","22.706","46.282","21.151","34.437","74.289"
"35","0:24.7","22.886","47.706","21.150","35.467","76.385"
"36","0:25.4","23.079","48.924","21.150","36.461","78.421"
"37","0:26.1","23.270","50.031","21.150","37.505","80.377"
"38","0:26.8","23.468","51.171","21.155","38.493","82.236"
"39","0:27.5","23.685","52.196","21.156","39.471","84.094"
"40","0:28.2","23.905","53.243","21.157","40.478","86.162"
"41","0:28.9","24.116","54.433","21.151","41.604","88.129"
"42","0:29.6","24.372","55.409","21.151","42.583","89.881"
"43","0:30.3","24.646","56.363","21.155","43.544","91.605"
"44","0:31.0","24.932","57.324","21.163","44.565","93.260"
"45","0:31.7","25.222","58.278","21.161","45.510","95.028"
"46","0:32.4","25.518","59.208","21.160","46.562","96.691"
"47","0:33.1","25.826","60.076","21.159","47.495","98.465"
"48","0:33.8","26.137","60.967","21.158","48.456","100.247"
"49","0:34.5","26.455","61.906","21.160","49.453","101.862"
"50","0:35.2","26.794","62.856","21.158","50.445","103.422"
"51","0:35.9","27.138","63.784","21.163","51.443","105.234"
"52","0:36.6","27.493","64.696","21.166","52.498","107.002"
"53","0:37.4","27.849","65.586","21.162","53.414","108.690"
"54","0:38.1","28.206","66.482","21.168","54.309","110.259"
"55","0:38.8","28.559","67.398","21.172","55.199","111.817"
"56","0:39.5","28.915","68.214","21.166","56.115","113.340"
"57","0:40.2","29.283","68.962","21.163","56.990","114.921"
"58","0:40.9","29.679","69.732","21.164","57.952","116.450"
"59","0:41.6","30.152","70.816","21.167","58.966","117.823"
"60","0:42.3","30.564","71.741","21.162","60.087","119.296"
"61","0:43.0","30.982","72.933","21.166","61.194","120.784"
"62","0:43.7","31.409","74.277","21.163","62.201","122.300"
"63","0:44.4","31.841","75.469","21.163","63.108","123.642"
"64","0:45.1","32.285","76.612","21.168","64.067","125.080"
"65","0:45.8","32.716","77.795","21.163","65.180","126.391"
"66","0:46.5","33.160","79.059","21.168","66.138","127.531"
"67","0:47.2","33.620","80.246","21.169","67.082","128.869"
"68","0:47.9","34.075","81.350","21.165","68.003","129.794"
"69","0:48.6","34.533","82.436","21.161","69.146","130.639"
"70","0:49.3","34.982","83.484","21.171","70.129","131.437"
"71","0:50.0","35.431","84.091","21.169","70.921","131.798"
"72","0:50.7","35.832","84.789","21.169","71.683","132.450"
"73","0:51.4","36.242","84.925","21.167","72.411","132.922"
"74","0:52.1","36.723","85.408","21.231","73.261","133.652"
"75","0:52.9","37.261","86.171","21.228","73.966","134.109"
"76","0:53.6","37.813","86.862","21.235","74.752","134.902"
"77","0:54.3","38.274","87.643","21.223","75.555","135.534"
"78","0:55.0","38.801","88.304","21.229","76.391","136.485"
"79","0:55.7","39.331","89.007","21.216","77.448","137.379"
"80","0:56.4","39.891","89.668","21.216","78.752","138.656"
"81","0:57.1","40.461","90.485","21.207","79.907","139.373"
"82","0:57.8","41.044","91.351","21.206","80.462","140.170"
"83","0:58.5","41.609","91.828","21.192","81.328","140.974"
"84","0:59.2","42.072","92.508","21.186","82.309","141.905"
"85","0:59.9","42.615","92.925","21.196","83.140","142.311"
"86","1:00.6","43.211","93.090","21.201","83.915","141.014"
"87","1:01.3","43.811","92.471","21.194","84.934","138.941"
