"Device: USB-2408-2AO"
"Serial Number: 22C3E45"
"Channel Count: 3"
"Sample Count: 1659"
"Start Time: 19/11/2025 12:55:17.4"
"Scan Rate: 3.31200003623962"
"Sample","Time (s)","Winding Temp (°C)","Ambient (°C)","Stator Body (°C)"
"0","0:00.0","20.786","20.995","21.521"
"1","0:00.3","20.785","20.904","21.522"
"2","0:00.6","20.786","20.892","21.519"
"3","0:00.9","20.785","20.886","21.517"
"4","0:01.2","20.786","20.885","21.519"
"5","0:01.5","20.785","20.883","21.516"
"6","0:01.8","20.784","20.885","21.519"
"7","0:02.1","20.788","20.886","21.523"
"8","0:02.4","20.790","20.886","21.523"
"9","0:02.7","20.785","20.881","21.522"
"10","0:03.0","20.789","20.885","21.523"
"11","0:03.3","20.789","20.880","21.524"
"12","0:03.6","20.789","20.880","21.522"
"13","0:03.9","20.792","20.880","21.521"
"14","0:04.2","20.787","20.847","21.528"
"15","0:04.5","20.790","20.879","21.527"
"16","0:04.8","20.790","20.877","21.534"
"17","0:05.1","20.797","20.878","21.533"
"18","0:05.4","20.795","20.885","21.540"
"19","0:05.7","20.799","20.881","21.542"
"20","0:06.0","20.805","20.885","21.544"
"21","0:06.3","20.810","20.892","21.552"
"22","0:06.6","20.810","20.887","21.555"
"23","0:06.9","20.810","20.886","21.553"
"24","0:07.2","20.816","20.890","21.558"
"25","0:07.5","20.818","20.892","21.563"
"26","0:07.9","20.820","20.921","21.569"
"27","0:08.2","20.819","20.882","21.564"
"28","0:08.5","20.829","20.913","21.568"
"29","0:08.8","20.824","20.909","21.568"
"30","0:09.1","20.825","20.893","21.564"
"31","0:09.4","20.822","20.851","21.561"
"32","0:09.7","20.821","20.890","21.557"
"33","0:10.0","20.828","20.894","21.557"
"34","0:10.3","20.824","20.892","21.557"
"35","0:10.6","20.821","20.849","21.555"
"36","0:10.9","20.825","20.881","21.548"
"37","0:11.2","20.822","20.897","21.547"
"38","0:11.5","20.827","20.883","21.548"
"39","0:11.8","20.822","20.878","21.542"
"40","0:12.1","20.822","20.882","21.547"
"41","0:12.4","20.820","20.901","21.540"
"42","0:12.7","20.816","20.888","21.537"
"43","0:13.0","20.815","20.913","21.540"
"44","0:13.3","20.813","20.878","21.542"
"45","0:13.6","20.821","20.889","21.541"
"46","0:13.9","20.807","20.879","21.540"
"47","0:14.2","20.814","20.879","21.542"
"48","0:14.5","20.817","20.883","21.541"
"49","0:14.8","20.814","20.884","21.540"
"50","0:15.1","20.809","20.879","21.535"
"51","0:15.4","20.810","20.870","21.536"
"52","0:15.7","20.813","20.892","21.535"
"53","0:16.0","20.809","20.878","21.534"
"54","0:16.3","20.809","20.873","21.537"
"55","0:16.6","20.812","20.884","21.537"
"56","0:16.9","20.806","20.890","21.536"
"57","0:17.2","20.809","20.880","21.533"
"58","0:17.5","20.814","20.885","21.538"
"59","0:17.8","20.813","20.882","21.531"
"60","0:18.1","20.812","20.882","21.533"
"61","0:18.4","20.814","20.880","21.535"
"62","0:18.7","20.812","20.885","21.529"
"63","0:19.0","20.812","20.885","21.532"
"64","0:19.3","20.797","20.883","21.536"
"65","0:19.6","20.811","20.888","21.533"
"66","0:19.9","20.813","20.884","21.534"
"67","0:20.2","20.875","20.943","21.593"
"68","0:20.5","20.874","20.947","21.593"
"69","0:20.8","20.874","20.947","21.593"
"70","0:21.1","20.871","20.945","21.596"
"71","0:21.4","20.874","20.947","21.598"
"72","0:21.7","20.877","20.947","21.599"
"73","0:22.0","20.880","20.947","21.598"
"74","0:22.3","20.870","20.950","21.596"
"75","0:22.6","20.877","20.945","21.596"
"76","0:22.9","20.872","20.949","21.596"
"77","0:23.2","20.868","20.930","21.596"
"78","0:23.6","20.873","20.944","21.597"
"79","0:23.9","20.877","20.952","21.597"
"80","0:24.2","20.872","20.947","21.590"
"81","0:24.5","20.869","20.921","21.596"
"82","0:24.8","20.871","20.966","21.591"
"83","0:25.1","20.867","20.942","21.594"
"84","0:25.4","20.864","20.938","21.592"
"85","0:25.7","20.860","20.933","21.590"
"86","0:26.0","20.859","20.950","21.587"
"87","0:26.3","20.854","20.940","21.583"
"88","0:26.6","20.858","20.938","21.577"
"89","0:26.9","20.852","20.896","21.581"
"90","0:27.2","20.853","20.915","21.575"
"91","0:27.5","20.854","20.936","21.581"
"92","0:27.8","20.855","20.948","21.579"
"93","0:28.1","20.856","20.939","21.578"
"94","0:28.4","20.855","20.960","21.571"
"95","0:28.7","20.849","20.929","21.571"
"96","0:29.0","20.850","20.938","21.567"
"97","0:29.3","20.847","20.942","21.564"
"98","0:29.6","20.846","20.941","21.562"
"99","0:29.9","20.845","20.943","21.558"
"100","0:30.2","20.843","20.944","21.555"
"101","0:30.5","20.833","20.939","21.555"
"102","0:30.8","20.831","20.940","21.548"
"103","0:31.1","20.832","20.958","21.548"
"104","0:31.4","20.829","20.965","21.551"
"105","0:31.7","20.831","20.960","21.550"
"106","0:32.0","20.836","20.925","21.552"
"107","0:32.3","20.838","20.939","21.556"
"108","0:32.6","20.843","20.950","21.549"
"109","0:32.9","20.842","20.914","21.550"
"110","0:33.2","20.841","20.931","21.553"
"111","0:33.5","20.839","20.945","21.557"
"112","0:33.8","20.829","20.894","21.556"
"113","0:34.1","20.842","20.919","21.559"
"114","0:34.4","20.845","20.933","21.558"
"115","0:34.7","20.848","20.931","21.564"
"116","0:35.0","20.848","20.933","21.563"
"117","0:35.3","20.849","20.934","21.565"
"118","0:35.6","20.846","20.935","21.562"
"119","0:35.9","20.845","20.929","21.556"
"120","0:36.2","20.820","20.931","21.557"
"121","0:36.5","20.851","20.931","21.557"
"122","0:36.8","20.885","20.931","21.564"
"123","0:37.1","20.957","20.937","21.561"
"124","0:37.4","21.027","20.928","21.561"
"125","0:37.7","21.125","20.932","21.565"
"126","0:38.0","21.237","20.929","21.561"
"127","0:38.3","21.373","20.932","21.563"
"128","0:38.6","21.489","20.928","21.565"
"129","0:38.9","21.659","20.929","21.574"
"130","0:39.3","21.813","20.927","21.572"
"131","0:39.6","21.994","20.927","21.583"
"132","0:39.9","22.155","20.928","21.587"
"133","0:40.2","22.357","20.924","21.600"
"134","0:40.5","22.522","20.933","21.600"
"135","0:40.8","22.803","21.006","21.677"
"136","0:41.1","22.989","21.016","21.686"
"137","0:41.4","23.178","20.992","21.696"
"138","0:41.7","23.378","20.991","21.706"
"139","0:42.0","23.591","20.995","21.723"
"140","0:42.3","23.802","20.995","21.737"
"141","0:42.6","24.015","20.993","21.741"
"142","0:42.9","24.258","20.989","21.752"
"143","0:43.2","24.466","20.993","21.759"
"144","0:43.5","24.694","20.991","21.777"
"145","0:43.8","24.928","20.986","21.793"
"146","0:44.1","25.166","20.960","21.811"
"147","0:44.4","25.401","20.985","21.835"
"148","0:44.7","25.630","20.989","21.852"
"149","0:45.0","25.854","20.989","21.864"
"150","0:45.3","26.120","20.981","21.883"
"151","0:45.6","26.366","20.997","21.897"
"152","0:45.9","26.606","20.986","21.914"
"153","0:46.2","26.843","20.993","21.926"
"154","0:46.5","27.091","20.989","21.942"
"155","0:46.8","27.344","20.992","21.962"
"156","0:47.1","27.565","20.981","21.973"
"157","0:47.4","27.795","20.978","21.987"
"158","0:47.7","28.052","20.989","22.008"
"159","0:48.0","28.309","20.983","22.026"
"160","0:48.3","28.544","20.986","22.048"
"161","0:48.6","28.787","20.981","22.071"
"162","0:48.9","29.033","20.987","22.089"
"163","0:49.2","29.264","21.000","22.107"
"164","0:49.5","29.510","20.989","22.127"
"165","0:49.8","29.780","20.986","22.151"
"166","0:50.1","30.027","20.991","22.173"
"167","0:50.4","30.264","20.986","22.200"
"168","0:50.7","30.478","20.987","22.225"
"169","0:51.0","30.743","20.981","22.252"
"170","0:51.3","30.977","20.986","22.283"
"171","0:51.6","31.191","20.977","22.297"
"172","0:51.9","31.466","20.988","22.328"
"173","0:52.2","31.728","20.979","22.352"
"174","0:52.5","31.947","20.890","22.386"
"175","0:52.8","32.224","20.955","22.419"
"176","0:53.1","32.464","20.956","22.453"
"177","0:53.4","32.668","20.959","22.480"
"178","0:53.7","32.913","20.961","22.515"
"179","0:54.0","33.173","20.967","22.545"
"180","0:54.3","33.412","20.996","22.575"
"181","0:54.6","33.618","20.966","22.608"
"182","0:55.0","33.830","20.976","22.626"
"183","0:55.3","34.067","20.973","22.660"
"184","0:55.6","34.244","20.983","22.683"
"185","0:55.9","34.461","20.980","22.706"
"186","0:56.2","34.682","20.963","22.742"
"187","0:56.5","34.883","20.975","22.774"
"188","0:56.8","35.118","20.989","22.794"
"189","0:57.1","35.355","20.927","22.827"
"190","0:57.4","35.577","20.958","22.858"
"191","0:57.7","35.830","20.989","22.901"
"192","0:58.0","36.066","20.987","22.936"
"193","0:58.3","36.308","20.971","22.995"
"194","0:58.6","36.551","20.965","23.033"
"195","0:58.9","36.785","20.971","23.071"
"196","0:59.2","37.005","20.968","23.096"
"197","0:59.5","37.254","20.972","23.132"
"198","0:59.8","37.485","20.963","23.173"
"199","1:00.1","37.728","20.969","23.211"
"200","1:00.4","37.966","20.985","23.262"
"201","1:00.7","38.192","20.968","23.314"
"202","1:01.0","38.420","20.965","23.365"
"203","1:01.3","38.769","21.026","23.503"
"204","1:01.6","38.983","21.033","23.554"
"205","1:01.9","39.206","21.023","23.619"
"206","1:02.2","39.428","21.036","23.673"
"207","1:02.5","39.607","21.026","23.729"
"208","1:02.8","39.858","21.033","23.782"
