"Device: USB-2408-2AO"
"Serial Number: 22C3E45"
"Channel Count: 3"
"Sample Count: 663"
"Start Time: 19/11/2025 18:47:43.9"
"Scan Rate: 3.31200003623962"
"Sample","Time (s)","Winding Temp (°C)","Ambient (°C)","Stator Body (°C)"
"139","0:42.0","53.167","20.865","25.161"
"140","0:42.3","53.573","20.865","25.237"
"141","0:42.6","53.894","20.869","25.301"
"142","0:42.9","54.230","20.863","25.382"
"143","0:43.2","54.615","20.865","25.460"
"144","0:43.5","54.885","20.865","25.530"
"145","0:43.8","55.191","20.865","25.595"
"146","0:44.1","55.507","20.865","25.654"
"147","0:44.4","55.776","20.864","25.711"
"148","0:44.7","56.145","20.865","25.803"
"149","0:45.0","56.478","20.863","25.897"
"150","0:45.3","56.742","20.855","25.996"
"151","0:45.6","57.091","20.859","26.086"
"152","0:45.9","57.374","20.860","26.162"
"153","0:46.2","57.715","20.851","26.249"
"154","0:46.5","58.088","20.858","26.333"
"155","0:46.8","58.383","20.859","26.404"
"156","0:47.1","58.744","20.855","26.483"
"157","0:47.4","59.110","20.860","26.566"
"158","0:47.7","59.428","20.853","26.655"
"159","0:48.0","59.806","20.853","26.753"
"160","0:48.3","60.139","20.851","26.843"
"161","0:48.6","60.481","20.855","26.939"
"162","0:48.9","60.883","20.855","27.039"
"163","0:49.2","61.192","20.852","27.120"
"164","0:49.5","61.534","20.852","27.213"
"165","0:49.8","61.919","20.847","27.307"
"166","0:50.1","62.226","20.851","27.390"
"167","0:50.4","62.598","20.847","27.493"
"168","0:50.7","62.965","20.852","27.600"
"169","0:51.0","63.316","20.911","27.763"
"170","0:51.3","63.671","20.909","27.852"
"171","0:51.6","63.966","20.907","27.949"
"172","0:51.9","64.244","20.910","28.044"
"173","0:52.2","64.591","20.903","28.142"
"174","0:52.5","64.865","20.914","28.219"
"175","0:52.8","65.173","20.906","28.300"
"176","0:53.1","65.496","20.907","28.389"
"177","0:53.4","65.717","20.909","28.456"
"178","0:53.7","65.949","20.901","28.536"
"179","0:54.0","66.176","20.905","28.608"
"180","0:54.3","66.343","20.899","28.692"
"181","0:54.6","66.624","20.898","28.787"
"182","0:55.0","66.901","20.900","28.878"
"183","0:55.3","67.204","20.902","28.986"
"184","0:55.6","67.594","20.901","29.090"
"185","0:55.9","67.886","20.903","29.177"
"186","0:56.2","68.206","20.898","29.266"
"187","0:56.5","68.506","20.894","29.362"
"188","0:56.8","68.675","20.900","29.460"
"189","0:57.1","68.892","20.892","29.559"
"190","0:57.4","69.120","20.896","29.656"
"191","0:57.7","69.298","20.894","29.758"
"192","0:58.0","69.557","20.895","29.866"
"193","0:58.3","69.769","20.895","29.957"
"194","0:58.6","70.044","20.898","30.054"
"195","0:58.9","70.378","20.894","30.155"
"196","0:59.2","70.656","20.898","30.246"
"197","0:59.5","70.921","20.892","30.340"
"198","0:59.8","71.169","20.892","30.433"
"199","1:00.1","71.381","20.891","30.527"
"200","1:00.4","71.642","20.895","30.615"
"201","1:00.7","71.863","20.896","30.693"
"202","1:01.0","72.035","20.886","30.769"
"203","1:01.3","72.376","20.956","30.903"
"204","1:01.6","72.571","20.952","30.968"
"205","1:01.9","72.722","20.951","31.036"
"206","1:02.2","72.971","20.952","31.102"
"207","1:02.5","73.177","20.954","31.154"
"208","1:02.8","73.503","20.950","31.214"
"209","1:03.1","73.866","20.945","31.237"
"210","1:03.4","74.108","20.950","31.280"
"211","1:03.7","74.421","20.945","31.405"
"212","1:04.0","74.722","20.942","31.544"
"213","1:04.3","74.960","20.947","31.700"
"214","1:04.6","75.257","20.942","31.852"
"215","1:04.9","75.470","20.943","31.993"
"216","1:05.2","75.671","20.944","32.143"
"217","1:05.5","75.932","20.939","32.263"
"218","1:05.8","76.122","20.936","32.358"
"219","1:06.1","76.373","20.936","32.485"
"220","1:06.4","76.631","20.936","32.620"
"221","1:06.7","76.798","20.933","32.748"
"222","1:07.0","77.064","20.935","32.891"
"223","1:07.3","77.311","20.929","32.996"
"224","1:07.6","77.537","20.929","33.114"
"225","1:07.9","77.816","20.938","33.241"
"226","1:08.2","78.081","20.927","33.361"
"227","1:08.5","78.356","20.931","33.500"
"228","1:08.8","78.667","20.929","33.645"
"229","1:09.1","78.863","20.928","33.769"
"230","1:09.4","79.133","20.924","33.890"
"231","1:09.7","79.466","20.925","33.988"
"232","1:10.0","79.767","20.923","34.111"
"233","1:10.4","80.162","20.914","34.263"
"234","1:10.7","80.474","20.916","34.405"
"235","1:11.0","80.702","20.912","34.524"
"236","1:11.3","81.042","20.911","34.647"
"237","1:11.6","81.378","20.978","34.839"
"238","1:11.9","81.693","20.981","34.964"
"239","1:12.2","82.013","20.974","35.099"
"240","1:12.5","82.277","20.975","35.210"
"241","1:12.8","82.536","20.975","35.330"
"242","1:13.1","82.834","20.971","35.448"
"243","1:13.4","83.003","20.969","35.559"
"244","1:13.7","83.200","20.965","35.696"
"245","1:14.0","83.451","20.971","35.833"
"246","1:14.3","83.633","20.966","35.982"
"247","1:14.6","83.897","20.961","36.122"
"248","1:14.9","84.109","20.964","36.233"
"249","1:15.2","84.401","20.963","36.352"
"250","1:15.5","84.811","20.959","36.492"
"251","1:15.8","85.150","20.961","36.632"
"252","1:16.1","85.543","20.959","36.793"
"253","1:16.4","85.933","20.961","36.942"
"254","1:16.7","86.152","20.951","37.075"
"255","1:17.0","86.423","20.958","37.213"
"256","1:17.3","86.650","20.953","37.322"
"257","1:17.6","86.847","20.958","37.436"
"258","1:17.9","87.149","20.956","37.559"
"259","1:18.2","87.381","20.953","37.687"
"260","1:18.5","87.595","20.952","37.820"
"261","1:18.8","87.843","20.948","37.956"
"262","1:19.1","88.022","20.954","38.092"
"263","1:19.4","88.234","20.949","38.225"
"264","1:19.7","88.419","20.947","38.340"
"265","1:20.0","88.498","20.947","38.468"
"266","1:20.3","88.649","20.942","38.588"
"267","1:20.6","88.779","20.947","38.702"
"268","1:20.9","88.941","20.941","38.828"
"269","1:21.2","89.170","20.940","38.956"
"270","1:21.5","89.347","20.941","39.089"
"271","1:21.8","89.612","21.006","39.295"
"272","1:22.1","89.848","21.002","39.433"
"273","1:22.4","89.999","21.000","39.560"
"274","1:22.7","90.215","21.000","39.709"
"275","1:23.0","90.421","20.998","39.843"
"276","1:23.3","90.557","21.002","39.978"
"277","1:23.6","90.765","20.999","40.118"
"278","1:23.9","90.970","20.997","40.254"
"279","1:24.2","91.128","20.997","40.395"
"280","1:24.5","91.387","20.994","40.540"
"281","1:24.8","91.575","20.989","40.671"
"282","1:25.1","91.838","20.989","40.822"
"283","1:25.4","92.152","20.985","40.974"
"284","1:25.7","92.411","20.980","41.130"
"285","1:26.1","92.737","20.983","41.297"
"286","1:26.4","93.054","20.986","41.458"
"287","1:26.7","93.277","20.983","41.604"
"288","1:27.0","93.563","20.980","41.755"
"289","1:27.3","93.777","20.983","41.902"
"290","1:27.6","93.965","20.980","42.060"
"291","1:27.9","94.211","20.978","42.232"
"292","1:28.2","94.390","20.981","42.383"
"293","1:28.5","94.615","20.973","42.550"
"294","1:28.8","94.849","20.979","42.705"
"295","1:29.1","95.010","20.971","42.852"
"296","1:29.4","95.235","20.970","42.998"
"297","1:29.7","95.472","20.971","43.088"
"298","1:30.0","95.668","20.968","43.146"
"299","1:30.3","95.936","20.963","43.256"
"300","1:30.6","96.143","20.966","43.397"
"301","1:30.9","96.337","20.968","43.534"
"302","1:31.2","96.620","20.959","43.652"
"303","1:31.5","96.878","20.962","43.776"
"304","1:31.8","97.208","20.960","43.946"
"305","1:32.1","97.625","21.024","44.188"
"306","1:32.4","97.876","21.024","44.362"
"307","1:32.7","98.154","21.016","44.539"
"308","1:33.0","98.424","21.016","44.706"
"309","1:33.3","98.628","21.012","44.882"
"310","1:33.6","98.918","21.015","45.061"
"311","1:33.9","99.175","21.013","45.218"
"312","1:34.2","99.390","21.014","45.362"
"313","1:34.5","99.634","21.010","45.508"
"314","1:34.8","99.813","21.011","45.634"
"315","1:35.1","100.082","21.010","45.763"
"316","1:35.4","100.410","21.007","45.869"
"317","1:35.7","100.672","21.009","45.938"
"318","1:36.0","100.969","21.005","46.056"
"319","1:36.3","101.193","21.005","46.212"
"320","1:36.6","101.328","21.006","46.373"
"321","1:36.9","101.512","21.001","46.546"
"322","1:37.2","101.607","21.001","46.711"
"323","1:37.5","101.714","20.997","46.881"
"324","1:37.8","101.934","20.998","47.037"
"325","1:38.1","102.110","20.991","47.156"
"326","1:38.4","102.336","20.995","47.278"
"327","1:38.7","102.572","20.991","47.393"
"328","1:39.0","102.715","20.990","47.488"
"329","1:39.3","102.957","20.992","47.618"
"330","1:39.6","103.108","20.986","47.748"
"331","1:39.9","103.231","20.984","47.863"
"332","1:40.2","103.366","20.983","47.965"
"333","1:40.5","103.366","20.982","48.054"
