"Device: USB-2408-2AO"
"Serial Number: 22C3E45"
"Channel Count: 7"
"Sample Count: 278"
"Start Time: 20/11/2025 15:09:57.4"
"Scan Rate: 1.4190000295639"
"Sample","Time (s)","PHC-inner (°C)","PHA-inner (°C)","PHA-interface (°C)","Ext-above-PHA (°C)","Ambient (°C)","Ext-above-PHC (°C)","Ext-above-PHA-tc2 (°C)"
"77","0:54.3","70.803","69.518","30.542","-25.812","19.043","30.225","32.217"
"78","0:55.0","71.125","70.272","30.873","-15.942","19.604","30.470","32.541"
"79","0:55.7","71.890","70.830","31.243","-6.458","19.091","30.591","32.861"
"80","0:56.4","72.790","71.480","31.528","24.507","19.051","30.902","33.161"
"81","0:57.1","73.632","72.142","31.793","21.721","19.142","31.243","33.433"
"82","0:57.8","74.296","72.686","32.065","12.411","19.033","31.671","33.769"
"83","0:58.5","74.870","73.351","32.393","-35.372","19.010","32.101","34.058"
"84","0:59.2","75.450","74.154","32.671","-24.427","19.164","32.401","34.380"
"85","0:59.9","76.091","74.989","33.017","16.047","18.990","32.620","34.731"
"86","1:00.6","76.934","75.390","33.381","23.073","19.149","32.911","35.131"
"87","1:01.3","77.694","75.604","33.739","-11.502","19.146","33.237","35.520"
"88","1:02.0","78.202","76.067","34.083","-0.997","19.127","33.570","35.830"
"89","1:02.7","78.798","76.629","34.464","13.035","19.103","33.944","36.240"
"90","1:03.4","79.474","77.188","34.837","38.811","19.084","34.269","36.506"
"91","1:04.1","80.308","77.710","35.197","18.277","19.248","34.337","37.091"
"92","1:04.8","80.862","78.173","35.566","49.624","19.208","34.707","37.352"
"93","1:05.5","81.716","78.897","35.941","18.770","19.138","35.047","37.842"
"94","1:06.2","82.295","79.516","36.243","18.346","19.155","35.292","38.219"
"95","1:06.9","83.065","80.285","36.631","45.406","19.052","35.714","38.581"
"96","1:07.7","83.631","80.863","36.914","18.471","17.830","36.052","38.825"
"97","1:08.4","84.432","81.520","37.301","27.953","19.000","36.402","39.296"
"98","1:09.1","84.890","82.084","37.617","21.323","19.073","36.687","39.576"
"99","1:09.8","85.778","82.816","37.942","-19.998","19.266","36.840","39.783"
"100","1:10.5","86.237","83.639","38.202","27.453","19.632","37.501","40.099"
"101","1:11.2","87.017","84.461","38.603","46.769","19.093","37.691","40.322"
"102","1:11.9","87.561","85.355","38.922","44.883","19.124","38.145","40.683"
"103","1:12.6","88.176","86.076","39.201","3.891","19.160","38.491","40.989"
"104","1:13.3","88.721","86.739","39.564","85.130","19.699","38.475","41.358"
"105","1:14.0","89.222","87.306","39.893","32.356","19.221","39.116","41.735"
"106","1:14.7","89.929","88.153","40.304","53.852","19.095","39.673","42.162"
"107","1:15.4","90.675","88.548","40.665","76.667","18.959","40.016","42.551"
"108","1:16.1","91.217","89.236","40.966","79.153","19.022","40.370","42.887"
"109","1:16.8","91.912","90.007","41.299","31.856","18.963","40.800","43.268"
"110","1:17.5","92.674","90.655","41.556","31.814","19.181","41.209","43.620"
"111","1:18.2","93.316","91.114","42.041","77.075","19.094","41.487","44.013"
"112","1:18.9","93.791","91.679","42.455","24.082","19.233","41.623","44.360"
"113","1:19.6","94.315","92.059","42.840","11.677","19.092","41.793","44.723"
"114","1:20.3","94.747","92.905","43.228","70.805","19.313","41.808","45.164"
"115","1:21.0","95.478","93.627","43.542","19.204","19.047","42.242","45.588"
"116","1:21.7","96.116","94.119","43.924","13.800","19.182","42.399","46.026"
"117","1:22.5","96.843","94.560","44.353","22.883","19.113","42.812","46.489"
"118","1:23.2","97.213","94.831","44.778","44.286","19.136","43.153","46.996"
"119","1:23.9","97.882","95.409","45.160","23.058","19.423","43.433","47.360"
"120","1:24.6","98.378","95.739","45.649","37.849","19.307","44.072","47.742"
"121","1:25.3","98.933","95.997","46.033","46.162","19.186","44.245","48.315"
"122","1:26.0","99.776","96.507","46.456","62.318","19.255","44.747","48.730"
"123","1:26.7","100.010","96.813","46.810","21.729","18.929","45.144","49.127"
"124","1:27.4","100.778","97.446","47.203","55.059","19.194","45.491","49.406"
"125","1:28.1","101.282","97.800","47.647","76.543","19.052","45.779","49.909"
"126","1:28.8","101.986","98.232","48.079","31.514","19.130","46.205","50.361"
"127","1:29.5","102.409","99.060","48.421","88.698","18.291","46.529","50.806"
