"Device: USB-2408-2AO"
"Serial Number: 22C3E45"
"Channel Count: 3"
"Sample Count: 586"
"Start Time: 19/11/2025 14:31:18.4"
"Scan Rate: 3.31200003623962"
"Sample","Time (s)","Winding Temp (°C)","Ambient (°C)","Stator Body (°C)"
"0","0:00.0","20.983","20.775","21.569"
"1","0:00.3","20.981","20.774","21.562"
"2","0:00.6","20.979","20.773","21.557"
"3","0:00.9","20.976","20.774","21.552"
"4","0:01.2","20.973","20.768","21.554"
"5","0:01.5","20.974","20.771","21.552"
"6","0:01.8","20.974","20.771","21.552"
"7","0:02.1","20.972","20.771","21.543"
"8","0:02.4","20.969","20.769","21.543"
"9","0:02.7","20.969","20.771","21.544"
"10","0:03.0","20.966","20.770","21.538"
"11","0:03.3","20.962","20.769","21.540"
"12","0:03.6","20.964","20.769","21.539"
"13","0:03.9","20.968","20.770","21.541"
"14","0:04.2","20.963","20.743","21.534"
"15","0:04.5","20.956","20.766","21.538"
"16","0:04.8","20.960","20.754","21.533"
"17","0:05.1","20.959","20.767","21.533"
"18","0:05.4","20.965","20.773","21.529"
"19","0:05.7","20.961","20.766","21.531"
"20","0:06.0","20.961","20.775","21.527"
"21","0:06.3","20.961","20.750","21.525"
"22","0:06.6","20.960","20.760","21.525"
"23","0:06.9","20.961","20.754","21.520"
"24","0:07.2","20.949","20.751","21.500"
"25","0:07.5","20.921","20.748","21.498"
"26","0:07.9","20.942","20.753","21.501"
"27","0:08.2","20.992","20.750","21.508"
"28","0:08.5","21.059","20.751","21.508"
"29","0:08.8","21.157","20.757","21.508"
"30","0:09.1","21.256","20.753","21.511"
"31","0:09.4","21.370","20.755","21.515"
"32","0:09.7","21.522","20.746","21.518"
"33","0:10.0","21.742","20.812","21.588"
"34","0:10.3","21.926","20.811","21.584"
"35","0:10.6","22.107","20.805","21.587"
"36","0:10.9","22.305","20.797","21.590"
"37","0:11.2","22.510","20.793","21.593"
"38","0:11.5","22.731","20.790","21.601"
"39","0:11.8","22.957","20.790","21.601"
"40","0:12.1","23.200","20.784","21.612"
"41","0:12.4","23.457","20.785","21.617"
"42","0:12.7","23.726","20.787","21.631"
"43","0:13.0","24.007","20.785","21.641"
"44","0:13.3","24.291","20.781","21.650"
"45","0:13.6","24.570","20.780","21.657"
"46","0:13.9","24.879","20.774","21.669"
"47","0:14.2","25.184","20.766","21.682"
"48","0:14.5","25.477","20.765","21.697"
"49","0:14.8","25.792","20.766","21.712"
"50","0:15.1","26.070","20.773","21.728"
"51","0:15.4","26.360","20.768","21.747"
"52","0:15.7","26.665","20.780","21.765"
"53","0:16.0","26.953","20.777","21.779"
"54","0:16.3","27.267","20.778","21.809"
"55","0:16.6","27.588","20.787","21.824"
"56","0:16.9","27.886","20.785","21.846"
"57","0:17.2","28.213","20.788","21.858"
"58","0:17.5","28.517","20.782","21.875"
"59","0:17.8","28.840","20.780","21.890"
"60","0:18.1","29.187","20.778","21.919"
"61","0:18.4","29.538","20.769","21.938"
"62","0:18.7","29.867","20.770","21.958"
"63","0:19.0","30.255","20.769","21.988"
"64","0:19.3","30.610","20.764","22.028"
"65","0:19.6","30.949","20.762","22.072"
"66","0:19.9","31.315","20.761","22.117"
"67","0:20.2","31.719","20.815","22.222"
"68","0:20.5","32.078","20.814","22.269"
"69","0:20.8","32.463","20.811","22.302"
"70","0:21.1","32.836","20.804","22.322"
"71","0:21.4","33.205","20.798","22.359"
"72","0:21.7","33.541","20.798","22.380"
"73","0:22.0","33.914","20.800","22.413"
"74","0:22.3","34.317","20.800","22.441"
"75","0:22.6","34.708","20.799","22.462"
"76","0:22.9","35.085","20.790","22.508"
"77","0:23.2","35.479","20.795","22.548"
"78","0:23.6","35.822","20.799","22.605"
"79","0:23.9","36.222","20.787","22.664"
"80","0:24.2","36.566","20.792","22.705"
"81","0:24.5","36.956","20.788","22.739"
"82","0:24.8","37.392","20.788","22.783"
"83","0:25.1","37.745","20.781","22.816"
"84","0:25.4","38.148","20.776","22.856"
"85","0:25.7","38.571","20.776","22.891"
"86","0:26.0","38.929","20.760","22.927"
"87","0:26.3","39.353","20.772","22.982"
"88","0:26.6","39.767","20.791","23.012"
"89","0:26.9","40.124","20.778","23.053"
"90","0:27.2","40.489","20.746","23.097"
"91","0:27.5","40.889","20.758","23.137"
"92","0:27.8","41.155","20.756","23.193"
"93","0:28.1","41.501","20.786","23.242"
"94","0:28.4","41.726","20.779","23.276"
"95","0:28.7","41.978","20.781","23.320"
"96","0:29.0","42.255","20.777","23.361"
"97","0:29.3","42.493","20.766","23.409"
"98","0:29.6","42.842","20.759","23.464"
"99","0:29.9","43.199","20.753","23.515"
"100","0:30.2","43.511","20.754","23.562"
"101","0:30.5","43.958","20.825","23.675"
"102","0:30.8","44.296","20.827","23.726"
"103","0:31.1","44.644","20.825","23.775"
"104","0:31.4","45.005","20.828","23.837"
"105","0:31.7","45.258","20.825","23.881"
"106","0:32.0","45.550","20.800","23.948"
"107","0:32.3","45.865","20.816","24.010"
"108","0:32.6","46.123","20.817","24.070"
"109","0:32.9","46.466","20.820","24.129"
"110","0:33.2","46.777","20.824","24.182"
"111","0:33.5","47.051","20.824","24.239"
"112","0:33.8","47.391","20.819","24.307"
"113","0:34.1","47.686","20.818","24.368"
"114","0:34.4","47.995","20.809","24.428"
"115","0:34.7","48.348","20.813","24.494"
"116","0:35.0","48.628","20.818","24.543"
"117","0:35.3","48.945","20.808","24.611"
"118","0:35.6","49.292","20.809","24.673"
"119","0:35.9","49.603","20.798","24.729"
"120","0:36.2","50.024","20.806","24.806"
"121","0:36.5","50.406","20.805","24.871"
"122","0:36.8","50.740","20.788","24.935"
"123","0:37.1","51.127","20.795","25.010"
"124","0:37.4","51.449","20.803","25.074"
"125","0:37.7","51.779","20.790","25.145"
"126","0:38.0","52.128","20.790","25.222"
"127","0:38.3","52.424","20.793","25.295"
"128","0:38.6","52.760","20.778","25.376"
"129","0:38.9","53.104","20.793","25.452"
"130","0:39.3","53.363","20.780","25.521"
"131","0:39.6","53.689","20.781","25.602"
"132","0:39.9","54.020","20.799","25.691"
"133","0:40.2","54.320","20.785","25.771"
"134","0:40.5","54.691","20.788","25.861"
"135","0:40.8","55.089","20.847","25.994"
"136","0:41.1","55.430","20.835","26.061"
"137","0:41.4","55.813","20.841","26.140"
"138","0:41.7","56.165","20.840","26.196"
"139","0:42.0","56.556","20.841","26.272"
"140","0:42.3","56.914","20.842","26.348"
"141","0:42.6","57.176","20.837","26.424"
"142","0:42.9","57.497","20.840","26.511"
"143","0:43.2","57.775","20.841","26.605"
"144","0:43.5","58.023","20.835","26.701"
"145","0:43.8","58.329","20.836","26.802"
"146","0:44.1","58.587","20.831","26.878"
"147","0:44.4","58.874","20.833","26.966"
"148","0:44.7","59.180","20.830","27.061"
"149","0:45.0","59.430","20.830","27.147"
"150","0:45.3","59.754","20.827","27.241"
"151","0:45.6","60.110","20.826","27.340"
"152","0:45.9","60.391","20.824","27.430"
"153","0:46.2","60.729","20.818","27.515"
"154","0:46.5","61.023","20.825","27.612"
"155","0:46.8","61.308","20.823","27.706"
"156","0:47.1","61.665","20.817","27.807"
"157","0:47.4","61.974","20.819","27.894"
"158","0:47.7","62.341","20.823","27.995"
"159","0:48.0","62.788","20.812","28.100"
"160","0:48.3","63.156","20.814","28.198"
"161","0:48.6","63.548","20.811","28.308"
"162","0:48.9","63.919","20.814","28.410"
"163","0:49.2","64.268","20.809","28.495"
"164","0:49.5","64.698","20.812","28.608"
"165","0:49.8","65.117","20.804","28.716"
"166","0:50.1","65.520","20.809","28.816"
"167","0:50.4","65.951","20.804","28.916"
"168","0:50.7","66.228","20.805","29.016"
"169","0:51.0","66.549","20.863","29.206"
"170","0:51.3","66.820","20.860","29.344"
"171","0:51.6","67.024","20.865","29.462"
"172","0:51.9","67.300","20.860","29.585"
"173","0:52.2","67.638","20.865","29.693"
"174","0:52.5","67.951","20.859","29.808"
"175","0:52.8","68.348","20.860","29.928"
"176","0:53.1","68.701","20.860","30.040"
"177","0:53.4","69.038","20.854","30.158"
"178","0:53.7","69.435","20.854","30.270"
"179","0:54.0","69.740","20.850","30.381"
"180","0:54.3","70.092","20.850","30.500"
"181","0:54.6","70.491","20.847","30.623"
"182","0:55.0","70.785","20.846","30.728"
"183","0:55.3","71.147","20.845","30.842"
"184","0:55.6","71.512","20.846","30.945"
"185","0:55.9","71.828","20.845","31.054"
"186","0:56.2","72.217","20.841","31.181"
"187","0:56.5","72.565","20.838","31.311"
"188","0:56.8","72.893","20.838","31.436"
"189","0:57.1","73.288","20.833","31.558"
"190","0:57.4","73.630","20.838","31.678"
"191","0:57.7","73.994","20.829","31.798"
"192","0:58.0","74.353","20.829","31.930"
"193","0:58.3","74.652","20.822","32.048"
"194","0:58.6","74.994","20.830","32.181"
"195","0:58.9","75.353","20.826","32.299"
"196","0:59.2","75.649","20.829","32.424"
"197","0:59.5","76.012","20.825","32.558"
"198","0:59.8","76.333","20.824","32.675"
"199","1:00.1","76.601","20.827","32.802"
"200","1:00.4","76.909","20.818","32.924"
"201","1:00.7","77.110","20.819","33.038"
"202","1:01.0","77.357","20.820","33.156"
"203","1:01.3","77.672","20.880","33.340"
"204","1:01.6","77.865","20.884","33.457"
"205","1:01.9","78.115","20.879","33.585"
"206","1:02.2","78.368","20.876","33.702"
"207","1:02.5","78.560","20.872","33.813"
"208","1:02.8","78.825","20.871","33.930"
"209","1:03.1","79.026","20.870","34.044"
"210","1:03.4","79.246","20.870","34.160"
"211","1:03.7","79.488","20.867","34.282"
"212","1:04.0","79.677","20.871","34.375"
"213","1:04.3","79.953","20.866","34.476"
"214","1:04.6","80.284","20.864","34.578"
"215","1:04.9","80.561","20.870","34.658"
"216","1:05.2","80.935","20.858","34.751"
"217","1:05.5","81.289","20.861","34.863"
"218","1:05.8","81.600","20.857","34.978"
"219","1:06.1","81.925","20.861","35.085"
"220","1:06.4","82.242","20.855","35.190"
"221","1:06.7","82.540","20.848","35.318"
"222","1:07.0","82.915","20.858","35.454"
"223","1:07.3","83.135","20.850","35.571"
"224","1:07.6","83.350","20.852","35.700"
"225","1:07.9","83.605","20.850","35.837"
"226","1:08.2","83.810","20.844","35.940"
"227","1:08.5","84.121","20.846","36.076"
"228","1:08.8","84.391","20.838","36.211"
"229","1:09.1","84.628","20.850","36.326"
"230","1:09.4","84.991","20.833","36.478"
"231","1:09.7","85.319","20.839","36.634"
"232","1:10.0","85.634","20.840","36.780"
"233","1:10.4","85.941","20.830","36.899"
"234","1:10.7","86.149","20.822","36.980"
"235","1:11.0","86.383","20.840","37.059"
"236","1:11.3","86.629","20.835","37.155"
"237","1:11.6","86.871","20.889","37.336"
"238","1:11.9","87.143","20.890","37.499"
"239","1:12.2","87.410","20.888","37.665"
"240","1:12.5","87.633","20.893","37.824"
"241","1:12.8","87.893","20.883","37.996"
"242","1:13.1","88.017","20.880","38.118"
"243","1:13.4","88.114","20.879","38.254"
"244","1:13.7","88.254","20.882","38.372"
"245","1:14.0","88.369","20.881","38.441"
"246","1:14.3","88.565","20.873","38.508"
"247","1:14.6","88.887","20.879","38.613"
"248","1:14.9","89.232","20.872","38.762"
"249","1:15.2","89.676","20.877","38.960"
"250","1:15.5","90.151","20.871","39.159"
"251","1:15.8","90.547","20.871","39.339"
"252","1:16.1","91.002","20.876","39.530"
"253","1:16.4","91.347","20.864","39.670"
