"Device: USB-2408-2AO"
"Serial Number: 22C3E45"
"Channel Count: 3"
"Sample Count: 709"
"Start Time: 19/11/2025 16:36:52.6"
"Scan Rate: 3.31200003623962"
"Sample","Time (s)","Winding Temp (°C)","Ambient (°C)","Stator Body (°C)"
"139","0:42.0","60.015","20.448","30.353"
"140","0:42.3","60.334","20.437","30.440"
"141","0:42.6","60.635","20.444","30.537"
"142","0:42.9","61.016","20.440","30.636"
"143","0:43.2","61.330","20.458","30.717"
"144","0:43.5","61.692","20.443","30.801"
"145","0:43.8","62.097","20.434","30.889"
"146","0:44.1","62.417","20.434","30.975"
"147","0:44.4","62.824","20.432","31.067"
"148","0:44.7","63.234","20.428","31.155"
"149","0:45.0","63.522","20.415","31.246"
"150","0:45.3","63.882","20.429","31.346"
"151","0:45.6","64.190","20.422","31.437"
"152","0:45.9","64.525","20.421","31.524"
"153","0:46.2","64.926","20.418","31.624"
"154","0:46.5","65.236","20.424","31.714"
"155","0:46.8","65.590","20.421","31.816"
"156","0:47.1","65.945","20.415","31.917"
"157","0:47.4","66.201","20.415","32.001"
"158","0:47.7","66.538","20.403","32.095"
"159","0:48.0","66.868","20.407","32.179"
"160","0:48.3","67.131","20.412","32.267"
"161","0:48.6","67.476","20.419","32.355"
"162","0:48.9","67.741","20.417","32.439"
"163","0:49.2","68.031","20.405","32.534"
"164","0:49.5","68.373","20.406","32.631"
"165","0:49.8","68.623","20.418","32.720"
"166","0:50.1","68.937","20.421","32.800"
"167","0:50.4","69.284","20.409","32.863"
"168","0:50.7","69.581","20.411","32.936"
"169","0:51.0","69.939","20.403","33.017"
"170","0:51.3","70.237","20.405","33.098"
"171","0:51.6","70.482","20.403","33.180"
"172","0:51.9","70.812","20.399","33.277"
"173","0:52.2","71.093","20.403","33.376"
"174","0:52.5","71.407","20.401","33.475"
"175","0:52.8","71.748","20.398","33.595"
"176","0:53.1","72.048","20.395","33.698"
"177","0:53.4","72.414","20.392","33.786"
"178","0:53.7","72.771","20.398","33.871"
"179","0:54.0","73.009","20.393","33.966"
"180","0:54.3","73.335","20.392","34.085"
"181","0:54.6","73.645","20.394","34.185"
"182","0:55.0","73.907","20.392","34.276"
"183","0:55.3","74.221","20.397","34.370"
"184","0:55.6","74.450","20.386","34.469"
"185","0:55.9","74.692","20.387","34.567"
"186","0:56.2","75.017","20.400","34.658"
"187","0:56.5","75.276","20.398","34.765"
"188","0:56.8","75.604","20.365","34.887"
"189","0:57.1","75.961","20.382","34.980"
"190","0:57.4","76.238","20.390","35.077"
"191","0:57.7","76.607","20.398","35.204"
"192","0:58.0","76.929","20.413","35.331"
"193","0:58.3","77.258","20.417","35.454"
"194","0:58.6","77.658","20.436","35.594"
"195","0:58.9","77.976","20.449","35.710"
"196","0:59.2","78.340","20.437","35.848"
"197","0:59.5","78.717","20.399","35.969"
"198","0:59.8","78.997","20.463","36.071"
"199","1:00.1","79.331","20.423","36.169"
"200","1:00.4","79.657","20.391","36.278"
"201","1:00.7","79.916","20.393","36.376"
"202","1:01.0","80.264","20.410","36.474"
"203","1:01.3","80.699","20.686","36.633"
"204","1:01.6","80.920","20.493","36.750"
"205","1:01.9","81.270","20.487","36.873"
"206","1:02.2","81.548","20.509","36.992"
"207","1:02.5","81.854","20.488","37.091"
"208","1:02.8","82.133","20.465","37.185"
"209","1:03.1","82.286","20.465","37.272"
"210","1:03.4","82.487","20.463","37.395"
"211","1:03.7","82.667","20.465","37.526"
"212","1:04.0","82.808","20.438","37.670"
"213","1:04.3","83.067","20.478","37.808"
"214","1:04.6","83.306","20.487","37.900"
"215","1:04.9","83.540","20.454","37.976"
"216","1:05.2","83.902","20.414","38.081"
"217","1:05.5","84.209","20.452","38.180"
"218","1:05.8","84.468","20.481","38.275"
"219","1:06.1","84.660","20.427","38.369"
"220","1:06.4","84.836","20.463","38.451"
"221","1:06.7","85.143","20.351","38.546"
"222","1:07.0","85.425","20.461","38.649"
"223","1:07.3","85.542","20.504","38.744"
"224","1:07.6","85.740","20.449","38.848"
"225","1:07.9","85.919","20.408","38.954"
"226","1:08.2","86.137","20.431","39.068"
"227","1:08.5","86.448","20.441","39.205"
"228","1:08.8","86.651","20.447","39.332"
"229","1:09.1","86.878","20.449","39.474"
"230","1:09.4","87.129","20.443","39.631"
"231","1:09.7","87.293","20.432","39.769"
"232","1:10.0","87.573","20.428","39.900"
"233","1:10.4","87.867","20.448","40.023"
"234","1:10.7","88.111","20.438","40.152"
"235","1:11.0","88.428","20.435","40.275"
"236","1:11.3","88.668","20.429","40.381"
"237","1:11.6","88.955","20.503","40.544"
"238","1:11.9","89.207","20.493","40.613"
"239","1:12.2","89.355","20.497","40.697"
"240","1:12.5","89.551","20.493","40.819"
"241","1:12.8","89.742","20.496","40.933"
"242","1:13.1","89.884","20.486","41.036"
"243","1:13.4","90.152","20.488","41.144"
"244","1:13.7","90.408","20.495","41.265"
"245","1:14.0","90.570","20.490","41.380"
"246","1:14.3","90.814","20.486","41.498"
"247","1:14.6","91.008","20.491","41.614"
"248","1:14.9","91.189","20.488","41.744"
"249","1:15.2","91.392","20.494","41.877"
"250","1:15.5","91.509","20.487","42.001"
"251","1:15.8","91.715","20.508","42.130"
"252","1:16.1","92.004","20.490","42.239"
"253","1:16.4","92.280","20.490","42.368"
"254","1:16.7","92.645","20.491","42.511"
"255","1:17.0","93.029","20.488","42.664"
"256","1:17.3","93.307","20.502","42.799"
"257","1:17.6","93.666","20.498","42.893"
"258","1:17.9","93.960","20.497","42.951"
"259","1:18.2","94.216","20.489","43.022"
"260","1:18.5","94.455","20.486","43.131"
"261","1:18.8","94.599","20.501","43.254"
"262","1:19.1","94.858","20.501","43.358"
"263","1:19.4","95.179","20.494","43.476"
"264","1:19.7","95.427","20.494","43.629"
"265","1:20.0","95.722","20.510","43.789"
"266","1:20.3","95.986","20.478","43.958"
"267","1:20.6","96.208","20.505","44.113"
"268","1:20.9","96.461","20.457","44.261"
"269","1:21.2","96.614","20.481","44.424"
"270","1:21.5","96.772","20.473","44.557"
"271","1:21.8","97.039","20.531","44.769"
"272","1:22.1","97.201","20.550","44.936"
"273","1:22.4","97.405","20.543","45.126"
"274","1:22.7","97.584","20.539","45.262"
"275","1:23.0","97.690","20.540","45.409"
"276","1:23.3","97.874","20.548","45.532"
"277","1:23.6","98.064","20.551","45.658"
"278","1:23.9","98.243","20.545","45.807"
"279","1:24.2","98.486","20.544","45.942"
"280","1:24.5","98.613","20.548","46.080"
"281","1:24.8","98.755","20.550","46.232"
"282","1:25.1","98.910","20.536","46.368"
"283","1:25.4","99.015","20.548","46.527"
"284","1:25.7","99.216","20.547","46.675"
"285","1:26.1","99.488","20.530","46.809"
"286","1:26.4","99.711","20.545","46.932"
"287","1:26.7","100.046","20.535","47.063"
"288","1:27.0","100.352","20.542","47.191"
"289","1:27.3","100.590","20.529","47.343"
"290","1:27.6","100.865","20.521","47.490"
"291","1:27.9","101.075","20.531","47.585"
"292","1:28.2","101.314","20.535","47.688"
"293","1:28.5","101.515","20.537","47.836"
"294","1:28.8","101.619","20.539","47.981"
"295","1:29.1","101.819","20.549","48.103"
"296","1:29.4","102.078","20.527","48.258"
"297","1:29.7","102.329","20.522","48.415"
"298","1:30.0","102.661","20.523","48.517"
"299","1:30.3","102.919","20.515","48.626"
"300","1:30.6","103.074","20.534","48.750"
"301","1:30.9","103.241","20.515","48.873"
"302","1:31.2","103.322","20.542","48.999"
"303","1:31.5","103.468","20.521","49.167"
"304","1:31.8","103.629","20.524","49.341"
"305","1:32.1","103.668","20.520","49.522"
"306","1:32.4","103.763","20.532","49.674"
"307","1:32.7","103.858","20.471","49.804"
"308","1:33.0","103.903","20.514","49.912"
"309","1:33.3","104.054","20.469","50.019"
"310","1:33.6","104.274","20.577","50.175"
"311","1:33.9","104.464","20.520","50.329"
"312","1:34.2","104.692","20.545","50.481"
"313","1:34.5","104.838","20.525","50.593"
"314","1:34.8","105.065","20.493","50.698"
"315","1:35.1","105.410","20.521","50.755"
"316","1:35.4","105.630","20.530","50.830"
"317","1:35.7","105.952","20.497","50.961"
"318","1:36.0","106.304","20.514","51.025"
"319","1:36.3","106.586","20.516","51.087"
"320","1:36.6","106.805","20.501","51.159"
"321","1:36.9","107.007","20.512","51.307"
"322","1:37.2","107.129","20.513","51.461"
"323","1:37.5","107.368","20.489","51.570"
"324","1:37.8","107.591","20.504","51.745"
"325","1:38.1","107.830","20.510","51.906"
"326","1:38.4","108.028","20.510","52.112"
"327","1:38.7","108.126","20.486","52.259"
"328","1:39.0","108.335","20.488","52.426"
"329","1:39.3","108.614","20.476","52.578"
"330","1:39.6","108.808","20.495","52.641"
"331","1:39.9","109.081","20.496","52.772"
"332","1:40.2","109.351","20.493","52.902"
"333","1:40.5","109.581","20.493","53.078"
"334","1:40.8","109.867","20.491","53.288"
"335","1:41.1","110.097","20.483","53.458"
"336","1:41.4","110.341","20.481","53.645"
"337","1:41.8","110.556","20.483","53.861"
"338","1:42.1","110.630","20.501","54.039"
"339","1:42.4","110.776","20.555","54.218"
"340","1:42.7","110.830","20.561","54.340"
"341","1:43.0","110.869","20.552","54.474"
"342","1:43.3","110.983","20.563","54.587"
"343","1:43.6","110.987","20.555","54.648"
"344","1:43.9","110.966","20.551","54.732"
"345","1:44.2","111.022","20.557","54.897"
"346","1:44.5","111.007","20.555","55.036"
"347","1:44.8","111.130","20.551","55.159"
"348","1:45.1","111.342","20.553","55.334"
"349","1:45.4","111.486","20.536","55.479"
"350","1:45.7","111.658","20.541","55.660"
"351","1:46.0","111.843","20.541","55.858"
"352","1:46.3","111.969","20.546","56.019"
"353","1:46.6","112.163","20.561","56.185"
"354","1:46.9","112.280","20.547","56.368"
"355","1:47.2","112.444","20.560","56.535"
"356","1:47.5","112.696","20.550","56.715"
"357","1:47.8","112.924","20.557","56.873"
"358","1:48.1","113.214","20.551","56.996"
"359","1:48.4","113.579","20.540","57.176"
"360","1:48.7","113.883","20.549","57.361"
"361","1:49.0","114.257","20.514","57.555"
"362","1:49.3","114.658","20.483","57.742"
"363","1:49.6","114.980","20.507","57.931"
"364","1:49.9","115.335","20.514","58.126"
"365","1:50.2","115.525","20.513","58.311"
"366","1:50.5","115.691","20.509","58.498"
"367","1:50.8","115.971","20.513","58.641"
"368","1:51.1","116.218","20.523","58.802"
"369","1:51.4","116.528","20.522","58.993"
"370","1:51.7","116.857","20.522","59.187"
"371","1:52.0","117.072","20.521","59.378"
"372","1:52.3","117.312","20.536","59.423"
"373","1:52.6","117.656","20.595","59.534"
"374","1:52.9","117.894","20.582","59.627"
"375","1:53.2","118.187","20.588","59.763"
"376","1:53.5","118.441","20.581","59.902"
"377","1:53.8","118.671","20.580","60.103"
"378","1:54.1","118.957","20.571","60.291"
"379","1:54.4","119.104","20.559","60.469"
"380","1:54.7","119.320","20.580","60.637"
"381","1:55.0","119.516","20.576","60.834"
"382","1:55.3","119.679","20.580","61.003"
"383","1:55.6","119.939","20.572","61.197"
"384","1:55.9","120.129","20.581","61.364"
"385","1:56.2","120.285","20.549","61.535"
"386","1:56.5","120.545","20.585","61.722"
"387","1:56.8","120.748","20.591","61.899"
"388","1:57.1","120.943","20.578","62.099"
"389","1:57.5","121.191","20.582","62.257"
"390","1:57.8","121.317","20.575","62.370"
"391","1:58.1","121.522","20.577","62.482"
"392","1:58.4","121.740","20.584","62.569"
"393","1:58.7","121.907","20.567","62.712"
"394","1:59.0","122.140","20.571","62.870"
"395","1:59.3","122.305","20.573","63.026"
"396","1:59.6","122.371","20.569","63.168"
"397","1:59.9","122.464","20.567","63.318"
"398","2:00.2","122.459","20.565","63.438"
"399","2:00.5","122.490","20.565","63.570"
"400","2:00.8","122.598","20.562","63.735"
"401","2:01.1","122.602","20.557","63.840"
"402","2:01.4","122.646","20.558","63.954"
"403","2:01.7","122.746","20.560","64.087"
"404","2:02.0","122.832","20.560","64.238"
"405","2:02.3","123.042","20.555","64.414"
"406","2:02.6","123.253","20.557","64.625"
"407","2:02.9","123.511","20.616","64.892"
"408","2:03.2","123.784","20.611","65.086"
"409","2:03.5","123.918","20.617","65.244"
"410","2:03.8","124.072","20.612","65.409"
"411","2:04.1","124.248","20.611","65.565"
"412","2:04.4","124.367","20.613","65.739"
"413","2:04.7","124.577","20.615","65.898"
"414","2:05.0","124.759","20.612","65.978"
"415","2:05.3","124.864","20.610","65.982"
"416","2:05.6","125.004","20.609","66.107"
"417","2:05.9","125.143","20.606","66.250"
"418","2:06.2","125.336","20.610","66.425"
"419","2:06.5","125.567","20.604","66.609"
"420","2:06.8","125.679","20.602","66.766"
"421","2:07.1","125.839","20.600","66.903"
"422","2:07.4","126.064","20.601","67.061"
"423","2:07.7","126.219","20.596","67.210"
"424","2:08.0","126.494","20.599","67.358"
"425","2:08.3","126.809","20.594","67.530"
"426","2:08.6","127.048","20.594","67.724"
"427","2:08.9","127.338","20.591","67.915"
"428","2:09.2","127.587","20.595","68.132"
"429","2:09.5","127.796","20.591","68.318"
"430","2:09.8","128.073","20.588","68.429"
"431","2:10.1","128.206","20.585","68.478"
"432","2:10.4","128.278","20.588","68.558"
"433","2:10.7","128.371","20.588","68.648"
"434","2:11.0","128.311","20.588","68.777"
"435","2:11.3","128.306","20.589","68.915"
"436","2:11.6","128.343","20.582","69.019"
"437","2:11.9","128.294","20.587","69.164"
"438","2:12.2","128.392","20.578","69.255"
"439","2:12.5","128.505","20.575","69.351"
"440","2:12.9","128.605","20.581","69.481"
"441","2:13.2","128.854","20.637","69.691"
"442","2:13.5","128.963","20.641","69.910"
"443","2:13.8","129.067","20.639","70.134"
"444","2:14.1","129.200","20.642","70.326"
"445","2:14.4","129.244","20.632","70.472"
"446","2:14.7","129.374","20.638","70.608"
"447","2:15.0","129.494","20.633","70.750"
"448","2:15.3","129.569","20.637","70.848"
"449","2:15.6","129.819","20.630","70.955"
"450","2:15.9","129.976","20.634","71.134"
"451","2:16.2","130.089","20.634","71.272"
"452","2:16.5","130.198","20.627","71.410"
"453","2:16.8","130.137","20.639","71.496"
"454","2:17.1","130.137","20.627","71.651"
"455","2:17.4","130.203","20.614","71.799"
"456","2:17.7","130.328","20.632","72.000"
"457","2:18.0","130.577","20.644","72.178"
"458","2:18.3","130.745","20.675","72.366"
"459","2:18.6","130.779","20.621","72.609"
"460","2:18.9","130.906","20.700","72.699"
"461","2:19.2","130.937","20.635","72.739"
"462","2:19.5","131.021","20.636","72.814"
"463","2:19.8","131.150","20.621","72.955"
