Voltage (V),Current (A),Temperature (C),eRPM,Throttle Duty,Motor Duty,Phase Current (A),Power (W),Status 1,Status 2,Serial Number: 3620885024
71.711716,1.6,25.33,515,3,2,0,114.74,1,0,
71.651657,3.2,25.33,2814,5,3,0,229.29,1,0,
71.921921,3.2,25.33,1963,6,3,0,230.15,1,0,
71.62162,5.2,25.33,1764,7,3,0,372.43,1,0,
71.591591,7,25.33,2398,8,5,0,501.14,1,0,
71.171173,8.6,25.3,2633,7,6,0,612.07,1,0,
71.561562,8,25.3,2764,8,5,0,572.49,1,0,
71.651657,8.2,25.3,1039,7,5,0,587.54,1,0,
71.561562,9,25.28,965,8,5,0,644.05,1,0,
71.471474,6.2,25.28,1921,7,5,0,443.12,1,0,
71.561562,9.6,25.28,1996,8,5,0,686.99,1,0,
71.531532,6.6,25.28,2054,7,5,0,472.11,1,0,
71.62162,8.2,25.3,2154,8,5,0,587.3,1,0,
71.381386,6.4,25.3,2283,7,5,0,456.84,1,0,
71.681686,9.4,25.33,2146,8,5,0,673.81,1,0,
71.591591,7.4,25.38,2634,7,5,0,529.78,1,0,
71.441444,10,25.45,2459,7,6,0,714.41,1,0,
71.471474,7.4,25.53,2663,7,5,0,528.89,1,0,
71.381386,7.2,25.58,2808,8,6,0,513.95,1,0,
71.561562,9.4,25.65,2475,8,5,0,672.68,1,0,
71.501503,7.4,25.73,2814,8,5,0,529.11,1,0,
71.561562,9.8,25.76,1289,8,5,0,701.3,1,0,
71.561562,6.4,25.83,1044,8,5,0,457.99,1,0,
71.561562,11,25.88,985,8,5,0,787.18,1,0,
72.072075,6.8,25.96,1884,9,5,0,490.09,1,0,
71.441444,8.2,26.03,1971,9,5,0,585.82,1,0,
71.561562,8.8,26.08,2026,11,5,0,629.74,1,0,
71.471474,8.6,26.16,1933,11,6,0,614.65,1,0,
71.561562,9,26.24,2208,12,5,0,644.05,1,0,
71.351357,7.4,26.31,2291,13,6,0,528,1,0,
71.531532,8.2,26.36,2367,14,5,0,586.56,1,0,
71.501503,6.6,26.41,2251,15,5,0,471.91,1,0,
71.561562,8.8,26.52,2209,16,5,0,629.74,1,0,
71.561562,6.6,26.57,2666,17,5,0,472.31,1,0,
71.141144,8.6,26.62,2455,18,5,0,611.81,1,0,
71.531532,7,26.64,2704,19,5,0,500.72,1,0,
71.381386,9,26.74,2521,19,6,0,642.43,1,0,
71.531532,8,26.8,2543,20,5,0,572.25,1,0,
71.231232,8,26.85,2662,21,6,0,569.85,1,0,
71.591591,8.4,26.9,2615,21,5,0,601.37,1,0,
71.381386,6.8,26.97,2764,22,6,0,485.39,1,0,
71.501503,8.4,27.05,2408,23,5,0,600.61,1,0,
71.441444,6.4,27.1,2767,23,5,0,457.23,1,0,
71.561562,8.6,27.18,2457,24,5,0,615.43,1,0,
71.561562,6.8,27.2,2774,24,5,0,486.62,1,0,
71.441444,10.6,27.28,2371,27,6,0,757.28,1,0,
71.531532,7.4,27.33,2685,27,5,0,529.33,1,0,
71.411415,9.6,27.36,2569,28,6,0,685.55,1,0,
71.561562,8,27.46,2629,28,5,0,572.49,1,0,
71.471474,7,27.46,2764,30,6,0,500.3,1,0,
71.531532,8.6,27.54,2501,30,5,0,615.17,1,0,
71.261261,6.6,27.56,2667,31,6,0,470.32,1,0,
71.471474,8,27.64,2388,31,5,0,571.77,1,0,
71.561562,6.4,27.69,2574,32,5,0,457.99,1,0,
71.561562,9.4,27.74,2192,32,5,0,672.68,1,0,
71.651657,7,27.79,2244,33,5,0,501.56,1,0,
71.441444,10.2,27.84,2105,32,6,0,728.7,1,0,
71.591591,7.4,27.87,2233,33,5,0,529.78,1,0,
71.441444,8.8,27.95,1920,32,6,0,628.68,1,0,
71.471474,7.6,27.97,2192,33,5,0,543.18,1,0,
71.771774,6.8,28.02,2287,32,6,0,488.05,1,0,
72.042046,8.2,28.05,2281,33,5,0,590.74,1,0,
71.411415,5.8,28.13,2281,32,5,0,414.19,1,0,
71.531532,9,28.15,2202,33,5,0,643.78,1,0,
71.591591,6.8,28.2,2069,32,5,0,486.82,1,0,
71.501503,10,28.26,1997,33,5,0,715.02,1,0,
71.531532,7,28.31,2012,33,5,0,500.72,1,0,
71.441444,9.8,28.33,1959,33,6,0,700.13,1,0,
71.561562,8.6,28.36,1377,34,5,0,615.43,1,0,
71.501503,7,28.41,1188,36,5,0,500.51,1,0,
71.501503,9.6,28.46,905,37,5,0,686.41,1,0,
71.471474,7.8,28.49,1828,38,5,0,557.48,1,0,
71.561562,9.4,28.51,2261,39,5,0,672.68,1,0,
71.501503,7,28.57,2649,40,5,0,500.51,1,0,
71.381386,8,28.62,2256,41,5,0,571.05,1,0,
71.531532,7,28.64,2492,41,5,0,500.72,1,0,
71.471474,10.4,28.69,2053,41,6,0,743.3,1,0,
71.681686,7.2,28.69,2210,41,5,0,516.11,1,0,
71.411415,9.6,28.75,2316,41,6,0,685.55,1,0,
