Voltage (V),Current (A),Temperature (C),eRPM,Throttle Duty,Motor Duty,Phase Current (A),Power (W),Status 1,Status 2,Serial Number: 3620885024
71.651657,1.6,25.05,2196,5,2,0,114.64,1,0,
71.651657,2.4,25.05,2144,5,3,0,171.96,1,0,
71.62162,3.4,25.05,1985,5,3,0,243.51,1,0,
71.591591,4.8,25.05,653,5,4,0,343.64,1,0,
71.531532,8.8,25.05,1005,7,5,0,629.48,1,0,
71.471474,8.2,25.05,1698,14,5,0,586.07,1,0,
71.351357,7.6,25.05,1913,21,6,0,542.27,1,0,
71.32132,9.8,25.05,1890,29,5,0,698.95,1,0,
71.591591,6.2,25.05,1999,32,6,0,443.87,1,0,
71.591591,7.8,25.05,2056,33,5,0,558.41,1,0,
71.501503,6.2,25.05,2005,33,5,0,443.31,1,0,
71.471474,8.2,25.05,1933,37,5,0,586.07,1,0,
71.501503,7,25.08,1995,51,5,0,500.51,1,0,
71.441444,9.2,25.08,1972,69,5,0,657.26,1,0,
71.501503,8,25.1,1456,74,5,0,572.01,1,0,
71.651657,9.2,25.15,970,75,5,0,659.2,1,0,
71.591591,8.6,25.25,901,74,5,0,615.69,1,0,
71.381386,8.8,25.3,1243,82,6,0,628.16,1,0,
71.501503,9.4,25.43,1022,97,5,0,672.11,1,0,
71.411415,7,25.48,2442,100,5,0,499.88,1,0,
71.471474,9.6,25.55,2452,100,5,0,686.13,1,0,
71.591591,5.4,25.58,2744,100,5,0,386.59,1,0,
71.141144,8.8,25.68,2443,100,5,0,626.04,1,0,
71.531532,6.6,25.76,2463,100,5,0,472.11,1,0,
71.29129,9.4,25.86,2236,100,6,0,670.14,1,0,
71.501503,8,25.86,2193,100,5,0,572.01,1,0,
71.411415,8.2,25.96,2215,100,6,0,585.57,1,0,
71.531532,9.8,26.01,754,100,5,0,701.01,1,0,
71.441444,7,26.06,985,100,5,0,500.09,1,0,
71.501503,9.6,26.16,1608,100,5,0,686.41,1,0,
72.102104,5.6,26.19,2541,100,6,0,403.77,1,0,
71.531532,9.8,26.26,1943,100,5,0,701.01,1,0,
71.201202,8.6,30.52,2302,100,6,0,612.33,1,0,
71.471474,8.2,30.55,1984,100,5,0,586.07,1,0,
71.441444,6.8,30.55,1974,100,6,0,485.8,1,0,
