"Device: USB-2408-2AO"
"Serial Number: 22C3E45"
"Channel Count: 6"
"Sample Count: 348"
"Start Time: 20/11/2025 13:04:02.7"
"Scan Rate: 1.65600001811981"
"Sample","Time (s)","PHC-inner (°C)","PHA-inner (°C)","PHA-interface (°C)","Ext-above-PHA (°C)","Ambient (°C)","Ext-above-PHC (°C)"
"86","0:51.9","66.837","66.504","32.189","-31.368","21.233","32.531"
"87","0:52.5","67.609","67.168","32.414","-18.593","21.228","32.743"
"88","0:53.1","68.002","67.738","32.678","-7.514","21.664","32.552"
"89","0:53.7","68.279","68.261","32.851","-33.088","21.135","33.003"
"90","0:54.3","69.093","68.677","33.101","-16.320","21.121","33.318"
"91","0:55.0","69.785","69.272","33.340","-7.680","21.208","33.553"
"92","0:55.6","70.156","69.823","33.560","-1.533","21.232","33.575"
"93","0:56.2","70.542","70.297","33.784","-22.977","21.119","34.050"
"94","0:56.8","71.254","70.721","33.951","-12.515","21.326","34.057"
"95","0:57.4","71.794","71.269","34.204","8.942","21.252","34.341"
"96","0:58.0","71.892","71.789","34.473","-2.519","21.180","34.726"
"97","0:58.6","72.522","72.238","34.668","-4.787","21.097","34.990"
"98","0:59.2","73.311","72.723","34.895","-1.600","21.090","35.179"
"99","0:59.8","73.494","73.229","35.168","25.745","21.161","35.482"
"100","1:00.4","73.983","73.638","35.434","-0.820","21.229","35.634"
"101","1:01.0","74.747","74.193","35.692","11.490","21.217","35.897"
"102","1:01.6","75.294","74.640","35.963","8.349","19.910","36.167"
"103","1:02.2","75.552","75.223","36.270","31.009","21.111","36.340"
"104","1:02.8","75.973","75.741","36.485","21.129","20.801","36.528"
"105","1:03.4","76.839","76.240","36.777","11.985","21.104","36.841"
"106","1:04.0","77.186","76.794","36.966","20.884","21.224","37.041"
"107","1:04.6","77.583","77.285","37.358","34.468","21.170","37.376"
"108","1:05.2","78.295","77.744","37.614","-1.496","19.895","37.598"
"109","1:05.8","78.911","78.269","37.810","20.541","21.344","37.574"
"110","1:06.4","79.242","78.761","38.140","22.590","21.201","37.979"
"111","1:07.0","79.731","79.035","38.451","30.521","21.115","38.290"
"112","1:07.6","80.450","79.217","38.732","37.661","21.893","38.540"
"113","1:08.2","80.878","79.615","39.092","11.897","21.302","38.867"
"114","1:08.8","81.207","79.813","39.297","52.613","21.168","39.174"
"115","1:09.4","81.935","80.144","39.547","35.187","21.197","39.350"
"116","1:10.0","82.364","80.352","39.802","13.585","21.395","39.421"
"117","1:10.7","82.936","80.745","40.062","28.340","20.126","39.834"
"118","1:11.3","83.433","81.211","40.338","45.555","21.139","40.249"
"119","1:11.9","83.881","81.549","40.593","22.509","21.192","40.438"
"120","1:12.5","84.408","81.931","40.854","7.928","21.156","40.691"
"121","1:13.1","84.876","82.404","41.204","53.407","21.602","41.033"
"122","1:13.7","85.381","82.740","41.472","12.967","21.227","41.215"
"123","1:14.3","86.013","83.175","41.773","36.658","21.249","41.417"
"124","1:14.9","86.473","83.678","42.132","63.873","21.144","41.750"
"125","1:15.5","86.733","84.060","42.487","65.001","21.279","41.910"
"126","1:16.1","87.132","84.588","42.810","49.653","21.239","42.238"
"127","1:16.7","87.710","85.017","43.099","39.803","21.216","42.464"
"128","1:17.3","88.411","85.508","43.406","55.802","21.111","42.811"
"129","1:17.9","88.755","85.892","43.694","54.591","21.229","42.939"
"130","1:18.5","89.195","86.155","43.928","27.933","21.112","43.379"
"131","1:19.1","89.691","86.593","44.211","44.021","21.189","43.689"
"132","1:19.7","90.100","86.932","44.448","58.170","21.128","43.947"
"133","1:20.3","90.442","87.377","44.827","60.639","20.642","44.237"
"134","1:20.9","91.163","87.836","45.056","21.715","21.122","44.579"
"135","1:21.5","91.701","88.350","45.506","58.838","20.108","44.778"
"136","1:22.1","91.919","88.707","45.725","36.949","21.061","45.078"
"137","1:22.7","92.486","89.060","45.924","46.498","21.214","45.267"
"138","1:23.3","92.738","89.429","46.188","54.483","21.164","45.581"
"139","1:23.9","93.342","89.813","46.429","34.865","21.606","45.797"
"140","1:24.5","93.852","90.119","46.694","82.723","19.893","46.149"
"141","1:25.1","94.133","90.322","47.002","45.940","21.086","46.371"
"142","1:25.7","94.669","90.820","47.203","41.859","21.075","46.678"
"143","1:26.4","95.098","91.151","47.641","75.361","21.153","46.998"
"144","1:27.0","95.415","91.491","47.870","87.023","21.182","47.307"
"145","1:27.6","96.085","91.909","48.133","19.082","21.204","47.493"
"146","1:28.2","96.111","92.181","48.439","73.139","19.938","47.859"
"147","1:28.8","96.768","92.598","48.734","66.456","20.004","48.260"
"148","1:29.4","97.288","92.914","49.009","58.165","21.099","48.591"
"149","1:30.0","97.637","93.219","49.268","56.849","20.057","48.767"
"150","1:30.6","98.048","93.708","49.621","60.895","21.233","49.215"
"151","1:31.2","98.382","94.082","49.892","72.880","21.108","49.273"
"152","1:31.8","98.955","94.540","50.241","82.327","21.272","49.431"
"153","1:32.4","99.216","94.921","50.577","35.413","21.167","49.974"
"154","1:33.0","99.611","95.242","50.828","87.873","20.995","50.240"
"155","1:33.6","99.881","95.748","51.232","39.237","20.413","50.257"
"156","1:34.2","100.135","96.112","51.543","73.285","21.398","50.759"
"157","1:34.8","100.661","98.330","51.692","47.593","21.207","50.882"
"158","1:35.4","101.170","99.275","52.101","100.194","21.259","51.044"
"159","1:36.0","101.410","100.130","52.418","75.857","20.075","51.609"
"160","1:36.6","101.973","100.586","52.883","58.861","19.998","51.931"
"161","1:37.2","102.328","100.947","53.062","80.461","21.655","51.775"
"162","1:37.8","102.705","100.976","53.350","68.788","21.129","52.654"
"163","1:38.4","103.163","101.872","53.839","82.890","21.216","52.772"
"164","1:39.0","103.500","102.398","54.244","81.212","21.060","53.115"
"165","1:39.6","103.788","102.936","54.669","89.708","21.238","53.395"
"166","1:40.2","104.271","103.506","54.928","91.593","21.862","53.761"
"167","1:40.8","104.757","103.983","55.272","69.015","21.789","54.036"
"168","1:41.4","105.051","104.306","55.548","70.980","21.333","54.427"
"169","1:42.1","105.180","104.716","55.930","77.135","21.510","54.373"
"170","1:42.7","105.869","105.135","56.127","108.541","21.413","54.862"
"171","1:43.3","106.312","105.559","56.649","90.616","21.118","55.300"
"172","1:43.9","106.810","105.833","56.997","65.429","21.180","55.470"
"173","1:44.5","107.338","106.285","57.292","111.997","21.306","55.791"
"174","1:45.1","107.487","106.664","57.712","51.336","20.248","56.161"
"175","1:45.7","108.018","106.980","58.017","76.229","21.260","56.357"
"176","1:46.3","108.360","107.347","58.444","105.024","21.050","56.735"
"177","1:46.9","108.754","108.179","58.741","100.702","21.350","56.714"
"178","1:47.5","109.314","109.000","58.946","99.092","21.157","57.311"
"179","1:48.1","109.802","109.134","59.274","59.162","21.199","57.606"
"180","1:48.7","110.068","109.330","59.643","116.096","21.220","57.812"
"181","1:49.3","110.396","109.541","59.936","58.882","21.034","58.203"
"182","1:49.9","110.753","109.797","60.251","101.054","20.153","58.418"
"183","1:50.5","111.133","110.116","60.700","112.900","21.148","58.748"
"184","1:51.1","111.691","110.389","60.950","60.462","21.114","59.135"
"185","1:51.7","112.117","110.503","61.366","102.360","21.081","59.407"
"186","1:52.3","112.512","110.996","61.721","114.380","21.313","59.541"
"187","1:52.9","112.860","111.306","62.072","104.820","21.184","60.046"
"188","1:53.5","113.237","111.561","62.464","62.828","21.394","60.059"
"189","1:54.1","113.717","111.743","62.796","110.884","21.248","60.470"
"190","1:54.7","113.998","111.990","63.101","130.486","21.087","60.663"
"191","1:55.3","114.397","112.291","63.448","70.822","21.221","61.073"
"192","1:55.9","114.658","112.507","63.722","104.360","21.222","61.259"
"193","1:56.5","115.142","112.885","63.975","111.891","21.178","61.547"
"194","1:57.1","115.465","113.296","64.338","132.426","21.094","61.870"
"195","1:57.8","115.781","113.853","64.529","70.503","21.175","62.128"
"196","1:58.4","116.173","114.262","64.889","127.788","21.199","62.454"
"197","1:59.0","116.495","114.614","65.320","157.486","21.565","62.575"
"198","1:59.6","116.803","114.869","65.645","94.124","21.286","63.065"
"199","2:00.2","117.263","115.143","66.038","69.322","21.098","63.571"
"200","2:00.8","117.550","115.535","66.432","141.257","21.140","63.706"
"201","2:01.4","117.830","115.916","66.798","134.752","21.595","64.033"
"202","2:02.0","117.758","116.219","67.140","67.835","21.187","64.371"
"203","2:02.6","118.692","116.325","67.452","91.314","21.700","64.726"
"204","2:03.2","118.977","116.549","67.748","114.619","21.206","64.807"
"205","2:03.8","119.410","116.731","68.087","138.094","21.241","65.177"
"206","2:04.4","119.766","116.844","68.505","116.868","21.061","65.440"
"207","2:05.0","120.143","117.287","68.775","84.582","21.101","65.756"
"208","2:05.6","120.431","117.590","69.084","127.437","21.135","66.102"
"209","2:06.2","120.821","118.067","69.497","151.635","21.133","66.324"
"210","2:06.8","121.300","118.358","69.846","154.013","21.092","66.664"
"211","2:07.4","121.618","118.784","70.127","135.615","21.611","66.531"
"212","2:08.0","122.105","119.050","70.499","106.637","20.015","67.344"
"213","2:08.6","122.363","119.210","70.954","128.623","21.115","67.831"
"214","2:09.2","122.783","119.779","71.182","140.931","21.197","68.106"
"215","2:09.8","123.137","120.111","71.479","109.133","20.966","68.326"
"216","2:10.4","123.354","120.484","71.888","160.268","21.223","68.582"
"217","2:11.0","123.801","120.816","72.268","135.984","21.065","68.930"
"218","2:11.6","124.208","121.247","72.572","171.120","21.129","69.238"
"219","2:12.2","124.682","121.647","72.837","156.910","21.179","69.472"
"220","2:12.9","124.989","122.245","73.165","142.594","21.078","69.786"
"221","2:13.5","125.266","122.682","73.500","137.987","20.641","70.114"
"222","2:14.1","125.549","123.018","73.626","106.489","21.245","70.332"
"223","2:14.7","126.019","123.392","73.954","127.941","21.397","70.670"
"224","2:15.3","126.350","123.548","74.240","130.219","21.133","71.073"
"225","2:15.9","126.745","124.075","74.731","135.729","21.250","71.462"
"226","2:16.5","127.251","124.377","75.174","172.055","21.234","71.646"
"227","2:17.1","127.468","124.521","75.591","156.016","21.093","71.953"
"228","2:17.7","127.714","125.064","75.981","170.883","21.217","72.360"
"229","2:18.3","128.158","125.578","76.292","149.446","21.289","72.552"
"230","2:18.9","128.574","126.118","76.599","175.537","21.097","72.818"
"231","2:19.5","128.868","126.658","76.934","163.336","21.087","73.136"
"232","2:20.1","129.097","126.877","77.316","162.323","21.260","73.384"
"233","2:20.7","129.540","127.273","77.627","177.711","21.333","73.429"
"234","2:21.3","130.152","127.811","78.002","168.157","21.138","73.656"
"235","2:21.9","130.451","128.345","78.340","151.116","21.197","73.928"
"236","2:22.5","130.787","128.782","78.817","158.073","20.660","74.296"
"237","2:23.1","131.096","129.149","79.064","135.690","19.898","74.817"
"238","2:23.7","131.564","129.622","79.373","140.113","21.235","75.100"
"239","2:24.3","132.003","130.073","79.726","112.622","21.219","75.511"
"240","2:24.9","132.204","130.497","80.081","130.228","21.151","75.860"
"241","2:25.5","132.655","130.851","80.407","158.152","21.120","76.230"
"242","2:26.1","133.179","131.258","80.749","132.429","21.116","76.636"
"243","2:26.7","133.397","131.676","81.122","176.509","21.077","76.908"
"244","2:27.3","133.825","132.111","81.476","135.886","21.075","77.338"
"245","2:27.9","134.331","132.648","81.764","178.696","21.353","77.377"
"246","2:28.6","134.527","132.907","82.116","179.896","20.197","77.740"
"247","2:29.2","134.855","133.370","82.407","190.319","21.231","78.084"
"248","2:29.8","135.290","133.838","82.743","169.322","21.425","78.114"
"249","2:30.4","135.651","134.285","83.125","173.125","21.078","78.682"
"250","2:31.0","136.020","134.734","83.452","175.247","21.157","79.094"
"251","2:31.6","136.441","135.094","83.750","176.540","21.948","79.468"
"252","2:32.2","136.913","135.493","84.085","192.499","21.646","79.896"
"253","2:32.8","137.215","135.750","84.445","184.603","21.091","80.251"
"254","2:33.4","137.706","136.107","84.870","189.374","21.641","80.566"
"255","2:34.0","138.049","136.491","85.317","197.037","21.133","80.910"
"256","2:34.6","138.433","136.837","85.543","179.226","21.285","80.920"
"257","2:35.2","138.736","136.996","85.875","177.273","21.326","81.462"
"258","2:35.8","139.306","137.457","86.209","158.936","21.918","81.572"
"259","2:36.4","139.540","137.739","86.556","184.068","21.135","81.897"
"260","2:37.0","139.841","138.116","86.881","131.640","21.109","82.239"
"261","2:37.6","140.328","138.444","87.304","186.988","21.216","82.428"
"262","2:38.2","140.535","138.569","87.695","184.377","21.232","82.780"
"263","2:38.8","140.919","138.813","88.068","190.779","21.380","83.109"
"264","2:39.4","141.141","138.938","88.434","195.813","21.286","83.472"
"265","2:40.0","141.300","138.882","88.775","181.048","20.974","83.831"
"266","2:40.6","142.019","138.853","89.098","184.917","21.245","84.066"
"267","2:41.2","142.380","139.119","89.420","198.971","21.265","84.227"
"268","2:41.8","142.702","139.643","89.715","167.916","21.334","84.456"
"269","2:42.4","143.098","140.225","90.030","183.995","21.247","84.764"
"270","2:43.0","143.389","140.713","90.356","186.342","21.239","85.010"
"271","2:43.6","143.689","141.126","90.517","187.890","21.254","85.394"
"272","2:44.3","144.065","141.242","90.909","188.977","21.182","85.894"
"273","2:44.9","144.214","141.494","91.337","177.005","21.372","86.168"
"274","2:45.5","144.533","141.866","91.562","201.795","21.167","86.440"
"275","2:46.1","144.939","142.418","91.746","176.114","21.113","86.736"
"276","2:46.7","145.289","142.837","92.099","135.982","21.725","86.918"
"277","2:47.3","145.736","143.217","92.571","115.308","21.964","87.266"
"278","2:47.9","145.953","143.074","92.863","115.431","21.966","87.611"
"279","2:48.5","146.055","143.174","93.326","115.644","21.969","87.915"
"280","2:49.1","146.067","143.222","93.578","115.841","21.969","88.296"
"281","2:49.7","146.005","142.960","93.936","116.016","21.971","87.361"
"282","2:50.3","145.311","142.339","94.309","65.749","21.272","88.765"
"283","2:50.9","145.877","141.698","94.662","160.849","21.127","89.206"
"284","2:51.5","145.752","142.076","95.177","169.398","21.221","89.291"
"285","2:52.1","145.585","142.197","95.574","162.837","21.108","89.715"
